iter	Logloss
0	0.658479599
1	0.6321723039
2	0.6096659983
3	0.5901103192
4	0.5697269572
5	0.5553748382
6	0.5422555824
7	0.5276785044
8	0.5165109589
9	0.5049462888
10	0.4962316984
11	0.4906214879
12	0.4826740834
13	0.4751895543
14	0.4699644683
15	0.4633551164
16	0.4608973111
17	0.4568864957
18	0.4538367661
19	0.4507599731
20	0.4475317065
21	0.4440644173
22	0.441094108
23	0.4397784079
24	0.4376687337
25	0.4356983003
26	0.4337253753
27	0.4327598135
28	0.4301841199
29	0.4292175539
30	0.4273041733
31	0.4261619018
32	0.4251559725
33	0.4242464356
34	0.4232246279
35	0.4216927803
36	0.4202848105
37	0.4190175584
38	0.4179733343
39	0.4171250132
40	0.4164895946
41	0.4156585468
42	0.4149738274
43	0.4144077336
44	0.4135048259
45	0.4126137
46	0.4119170925
47	0.4104872075
48	0.4095140361
49	0.4090066067
50	0.4081590128
51	0.4075058903
52	0.4070812445
53	0.4066807885
54	0.4064236695
55	0.4057213376
56	0.4051094394
57	0.404125408
58	0.4035642841
59	0.4030978784
60	0.4027037678
61	0.4020792005
62	0.4016853216
63	0.4011965625
64	0.4007258643
65	0.3999118479
66	0.3997412063
67	0.3994135921
68	0.3987506237
69	0.3982865841
70	0.3979852369
71	0.3975658952
72	0.3974172348
73	0.3970645625
74	0.3965110035
75	0.3963612041
76	0.3959824824
77	0.3954772661
78	0.3952612928
79	0.3949873486
80	0.3948582972
81	0.394662733
82	0.3945465286
83	0.3939317525
84	0.3934365865
85	0.393263499
86	0.3928262935
87	0.3925564862
88	0.3917790585
89	0.3915683112
90	0.3912042651
91	0.3910577564
92	0.3908261899
93	0.3907156356
94	0.3905678337
95	0.3904859537
96	0.3902829278
97	0.3902059363
98	0.3900765656
99	0.3896472614
