iter	Passed	Remaining
0	55	5472
1	55	2725
2	55	1807
3	56	1349
4	56	1073
5	56	890
6	57	758
7	57	659
8	57	583
9	57	521
10	58	471
11	58	428
12	58	393
13	58	362
14	59	335
15	59	311
16	59	291
17	59	273
18	60	256
19	60	241
20	60	228
21	60	215
22	61	204
23	61	194
24	61	184
25	61	175
26	61	167
27	62	160
28	62	153
29	62	146
30	63	140
31	63	134
32	63	129
33	63	123
34	64	118
35	64	114
36	64	110
37	65	106
38	65	102
39	65	98
40	65	94
41	66	91
42	66	88
43	66	84
44	66	81
45	67	78
46	67	75
47	67	73
48	67	70
49	67	67
50	68	65
51	68	63
52	68	60
53	68	58
54	68	56
55	69	54
56	69	52
57	69	50
58	69	48
59	70	46
60	70	44
61	70	43
62	70	41
63	70	39
64	71	38
65	71	36
66	71	35
67	71	33
68	72	32
69	72	30
70	72	29
71	72	28
72	72	26
73	73	25
74	73	24
75	73	23
76	73	22
77	73	20
78	74	19
79	74	18
80	74	17
81	74	16
82	74	15
83	75	14
84	76	13
85	76	12
86	76	11
87	76	10
88	76	9
89	77	8
90	77	7
91	77	6
92	77	5
93	77	4
94	78	4
95	78	3
96	78	2
97	78	1
98	78	0
99	78	0
