iter	Logloss
0	0.6819271028
1	0.6719807565
2	0.6630176975
3	0.653511883
4	0.6459907963
5	0.6368706025
6	0.6300654
7	0.6244940635
8	0.6191104174
9	0.61484217
10	0.6107243677
11	0.6068399657
12	0.6036738144
13	0.6005645508
14	0.5971131822
15	0.5929612275
16	0.5907154846
17	0.5871649471
18	0.5850989693
19	0.5831147083
20	0.5801755963
21	0.5781775189
22	0.5769141271
23	0.5759353647
24	0.5744432815
25	0.5721759421
26	0.5696823634
27	0.5679635939
28	0.566075479
29	0.5652703534
30	0.5637489517
31	0.5623796402
32	0.5614571369
33	0.5600584773
34	0.5592746786
35	0.5580395385
36	0.5571917266
37	0.5565772468
38	0.5559017338
39	0.5548203705
40	0.5538536169
41	0.5527135079
42	0.5518357976
43	0.5511708931
44	0.5503003346
45	0.5498422122
46	0.5491207238
47	0.548660138
48	0.5482342781
49	0.5481077794
50	0.5473622243
51	0.5472800316
52	0.5471379521
53	0.5461535344
54	0.5457775781
55	0.5448902016
56	0.543558151
57	0.5432571898
58	0.5429272615
59	0.542681641
60	0.5423747411
61	0.541588836
62	0.5412956985
63	0.5410171353
64	0.5406866638
65	0.5403609126
66	0.539824073
67	0.5397882813
68	0.5396615593
69	0.5393210122
70	0.5389793009
71	0.5389146864
72	0.5388925938
73	0.5387966482
74	0.5384054104
75	0.5383093678
76	0.5379305579
77	0.5373263431
78	0.5371801928
79	0.5370729418
80	0.5369672521
81	0.5366971754
82	0.5359478227
83	0.535556427
84	0.5355433878
85	0.5355376454
86	0.5353923371
87	0.535213824
88	0.5351965171
89	0.534525198
90	0.5335169027
91	0.5333224378
92	0.5331763343
93	0.533144409
94	0.5330019429
95	0.5327616876
96	0.5322669918
97	0.5322381887
98	0.5321446268
99	0.5320711411
