iter	Passed	Remaining
0	56	5553
1	56	2759
2	56	1827
3	56	1362
4	57	1083
5	57	897
6	57	763
7	57	663
8	57	585
9	58	522
10	58	471
11	58	428
12	58	392
13	58	361
14	58	334
15	59	310
16	59	290
17	59	271
18	59	255
19	60	240
20	60	226
21	60	214
22	60	203
23	60	192
24	61	183
25	61	174
26	61	165
27	61	158
28	61	151
29	61	144
30	62	138
31	62	132
32	62	126
33	62	121
34	62	116
35	63	112
36	63	107
37	63	103
38	63	99
39	63	95
40	63	92
41	64	88
42	64	85
43	64	82
44	64	79
45	64	76
46	65	73
47	65	70
48	65	68
49	65	65
50	65	63
51	66	60
52	66	58
53	66	56
54	66	54
55	66	52
56	66	50
57	67	48
58	67	46
59	67	45
60	67	43
61	67	41
62	68	39
63	68	38
64	68	36
65	68	35
66	68	33
67	69	32
68	69	31
69	69	29
70	69	28
71	69	27
72	70	25
73	70	24
74	70	23
75	70	22
76	70	21
77	70	19
78	71	18
79	71	17
80	71	16
81	71	15
82	71	14
83	71	13
84	72	12
85	72	11
86	72	10
87	72	9
88	72	8
89	72	8
90	73	7
91	73	6
92	73	5
93	73	4
94	73	3
95	73	3
96	74	2
97	74	1
98	74	0
99	74	0
