iter	Logloss
0	0.6486460263
1	0.6144140167
2	0.580352954
3	0.5557190233
4	0.5339446295
5	0.5177359039
6	0.5015821913
7	0.4897711511
8	0.4799123059
9	0.4684002239
10	0.4598894702
11	0.4530742764
12	0.443069868
13	0.4378246413
14	0.4345223407
15	0.4319341975
16	0.430103837
17	0.427854727
18	0.4245353062
19	0.4222591215
20	0.4200508394
21	0.4167617007
22	0.4156026844
23	0.4134647709
24	0.4122692551
25	0.4106458958
26	0.409735828
27	0.4087280936
28	0.4069791139
29	0.4056437971
30	0.4045317518
31	0.4038156852
32	0.4028075683
33	0.4017799777
34	0.4010901209
35	0.399453649
36	0.3985851415
37	0.3976042057
38	0.3968981918
39	0.396688833
40	0.3962127429
41	0.3952070472
42	0.3942898246
43	0.3934902349
44	0.3920878761
45	0.3906364779
46	0.3900819607
47	0.3886745977
48	0.3879569137
49	0.3876708522
50	0.3869886589
51	0.3860653063
52	0.3846534258
53	0.3843281811
54	0.3838418551
55	0.3835094555
56	0.3829150641
57	0.3825406463
58	0.3822142554
59	0.3814296306
60	0.3800904118
61	0.3797462164
62	0.3779528138
63	0.3777797931
64	0.3770352449
65	0.3767555928
66	0.3759843082
67	0.3752390211
68	0.3749389619
69	0.3742845193
70	0.3734214143
71	0.3731738592
72	0.3728330039
73	0.3723845142
74	0.3714815478
75	0.3706846906
76	0.3702984593
77	0.3687539885
78	0.3686504668
79	0.3682588722
80	0.3680522134
81	0.3673093277
82	0.3668625997
83	0.3665229825
84	0.3658722067
85	0.3644861302
86	0.3639193573
87	0.3637337714
88	0.363225945
89	0.363055921
90	0.3626287907
91	0.3623762263
92	0.3623117101
93	0.3618903187
94	0.3613856389
95	0.3611165796
96	0.3607046782
97	0.3606226579
98	0.3603865547
99	0.3599482625
