iter	Passed	Remaining
0	56	5619
1	57	2807
2	57	1866
3	58	1398
4	58	1116
5	59	928
6	59	793
7	60	691
8	60	612
9	61	549
10	61	497
11	61	454
12	62	417
13	62	385
14	63	358
15	63	334
16	64	312
17	64	293
18	64	276
19	65	261
20	65	247
21	66	235
22	66	223
23	67	212
24	67	202
25	68	193
26	68	185
27	68	177
28	69	169
29	69	162
30	70	156
31	70	149
32	70	144
33	71	138
34	71	133
35	72	128
36	72	123
37	73	119
38	73	115
39	74	111
40	74	107
41	74	103
42	75	99
43	75	96
44	76	93
45	76	89
46	77	86
47	77	84
48	78	81
49	78	78
50	79	75
51	79	73
52	79	70
53	80	68
54	80	66
55	81	63
56	81	61
57	82	59
58	83	57
59	83	55
60	84	53
61	84	51
62	84	49
63	85	48
64	85	46
65	86	44
66	86	42
67	87	40
68	87	39
69	87	37
70	88	36
71	88	34
72	89	32
73	89	31
74	90	30
75	90	28
76	90	27
77	91	25
78	91	24
79	91	22
80	92	21
81	92	20
82	93	19
83	93	17
84	94	16
85	94	15
86	95	14
87	95	13
88	95	11
89	96	10
90	96	9
91	97	8
92	97	7
93	98	6
94	98	5
95	99	4
96	99	3
97	100	2
98	100	1
99	101	0
