model,features,accuracy_vs_kaggle,improvement
xgb,title,0.78708,0.03588
xgb,family_size,0.76555,0.01435
xgb,is_alone,0.77751,0.02632
xgb,age_group,0.78468,0.03349
xgb,fare_per_person,0.75598,0.00478
xgb,deck,0.76555,0.01435
xgb,has_cabin,0.76315,0.01195
xgb,is_mother,0.77751,0.02632
xgb,sex_pclass,0.77751,0.02632
xgb,is_child,0.78468,0.03349
xgb,women_children_first,0.78468,0.03349
xgb,"title, family_size",0.76076,0.00956
xgb,"title, is_alone",0.78229,0.0311
xgb,"title, age_group",0.78708,0.03588
xgb,"title, fare_per_person",0.76555,0.01435
xgb,"title, deck",0.78468,0.03349
xgb,"title, has_cabin",0.78947,0.03827
xgb,"title, is_mother",0.77751,0.02632
xgb,"title, sex_pclass",0.78708,0.03588
xgb,"title, is_child",0.78708,0.03588
xgb,"title, women_children_first",0.78708,0.03588
xgb,"family_size, is_alone",0.76555,0.01435
xgb,"family_size, age_group",0.77272,0.02152
xgb,"family_size, fare_per_person",0.76076,0.00956
xgb,"family_size, deck",0.76555,0.01435
xgb,"family_size, has_cabin",0.76315,0.01195
xgb,"family_size, is_mother",0.76076,0.00956
xgb,"family_size, sex_pclass",0.76076,0.00956
xgb,"family_size, is_child",0.76794,0.01674
xgb,"family_size, women_children_first",0.77751,0.02632
xgb,"is_alone, age_group",0.78229,0.0311
xgb,"is_alone, fare_per_person",0.76555,0.01435
xgb,"is_alone, deck",0.77272,0.02152
xgb,"is_alone, has_cabin",0.77033,0.01913
xgb,"is_alone, is_mother",0.77751,0.02632
xgb,"is_alone, sex_pclass",0.77751,0.02632
xgb,"is_alone, is_child",0.78468,0.03349
xgb,"is_alone, women_children_first",0.78468,0.03349
xgb,"age_group, fare_per_person",0.76076,0.00956
xgb,"age_group, deck",0.77751,0.02632
xgb,"age_group, has_cabin",0.77751,0.02632
xgb,"age_group, is_mother",0.78468,0.03349
xgb,"age_group, sex_pclass",0.78468,0.03349
xgb,"age_group, is_child",0.78468,0.03349
xgb,"age_group, women_children_first",0.78468,0.03349
xgb,"fare_per_person, deck",0.75358,0.00239
xgb,"fare_per_person, has_cabin",0.76076,0.00956
xgb,"fare_per_person, is_mother",0.74641,-0.00478
xgb,"fare_per_person, sex_pclass",0.75837,0.00717
xgb,"fare_per_person, is_child",0.76315,0.01195
xgb,"fare_per_person, women_children_first",0.77272,0.02152
xgb,"deck, has_cabin",0.76555,0.01435
xgb,"deck, is_mother",0.76315,0.01195
xgb,"deck, sex_pclass",0.76555,0.01435
xgb,"deck, is_child",0.77511,0.02391
xgb,"deck, women_children_first",0.77511,0.02391
xgb,"has_cabin, is_mother",0.76315,0.01195
xgb,"has_cabin, sex_pclass",0.76315,0.01195
xgb,"has_cabin, is_child",0.77033,0.01913
xgb,"has_cabin, women_children_first",0.77272,0.02152
xgb,"is_mother, sex_pclass",0.77751,0.02632
xgb,"is_mother, is_child",0.78468,0.03349
xgb,"is_mother, women_children_first",0.78229,0.0311
xgb,"sex_pclass, is_child",0.78468,0.03349
xgb,"sex_pclass, women_children_first",0.78468,0.03349
xgb,"is_child, women_children_first",0.78468,0.03349
xgb,"title, family_size, is_alone",0.76076,0.00956
xgb,"title, family_size, age_group",0.77033,0.01913
xgb,"title, family_size, fare_per_person",0.75119,0.0
xgb,"title, family_size, deck",0.76076,0.00956
xgb,"title, family_size, has_cabin",0.76794,0.01674
xgb,"title, family_size, is_mother",0.75598,0.00478
xgb,"title, family_size, sex_pclass",0.76315,0.01195
xgb,"title, family_size, is_child",0.76555,0.01435
xgb,"title, family_size, women_children_first",0.76315,0.01195
xgb,"title, is_alone, age_group",0.78468,0.03349
xgb,"title, is_alone, fare_per_person",0.7488,-0.00239
xgb,"title, is_alone, deck",0.77033,0.01913
xgb,"title, is_alone, has_cabin",0.77272,0.02152
xgb,"title, is_alone, is_mother",0.77751,0.02632
xgb,"title, is_alone, sex_pclass",0.78229,0.0311
xgb,"title, is_alone, is_child",0.78229,0.0311
xgb,"title, is_alone, women_children_first",0.78229,0.0311
xgb,"title, age_group, fare_per_person",0.75598,0.00478
xgb,"title, age_group, deck",0.78229,0.0311
xgb,"title, age_group, has_cabin",0.79186,0.04066
xgb,"title, age_group, is_mother",0.77751,0.02632
xgb,"title, age_group, sex_pclass",0.78708,0.03588
xgb,"title, age_group, is_child",0.78708,0.03588
xgb,"title, age_group, women_children_first",0.78708,0.03588
xgb,"title, fare_per_person, deck",0.74401,-0.00718
xgb,"title, fare_per_person, has_cabin",0.75598,0.00478
xgb,"title, fare_per_person, is_mother",0.76076,0.00956
xgb,"title, fare_per_person, sex_pclass",0.76555,0.01435
xgb,"title, fare_per_person, is_child",0.76555,0.01435
xgb,"title, fare_per_person, women_children_first",0.76794,0.01674
xgb,"title, deck, has_cabin",0.78468,0.03349
xgb,"title, deck, is_mother",0.77511,0.02391
xgb,"title, deck, sex_pclass",0.78468,0.03349
xgb,"title, deck, is_child",0.78468,0.03349
xgb,"title, deck, women_children_first",0.78468,0.03349
xgb,"title, has_cabin, is_mother",0.7799,0.02871
xgb,"title, has_cabin, sex_pclass",0.78947,0.03827
xgb,"title, has_cabin, is_child",0.78708,0.03588
xgb,"title, has_cabin, women_children_first",0.78947,0.03827
xgb,"title, is_mother, sex_pclass",0.77751,0.02632
xgb,"title, is_mother, is_child",0.77751,0.02632
xgb,"title, is_mother, women_children_first",0.77751,0.02632
xgb,"title, sex_pclass, is_child",0.78708,0.03588
xgb,"title, sex_pclass, women_children_first",0.78708,0.03588
xgb,"title, is_child, women_children_first",0.78708,0.03588
xgb,"family_size, is_alone, age_group",0.77272,0.02152
xgb,"family_size, is_alone, fare_per_person",0.76076,0.00956
xgb,"family_size, is_alone, deck",0.76555,0.01435
xgb,"family_size, is_alone, has_cabin",0.76315,0.01195
xgb,"family_size, is_alone, is_mother",0.76076,0.00956
xgb,"family_size, is_alone, sex_pclass",0.76076,0.00956
xgb,"family_size, is_alone, is_child",0.76794,0.01674
xgb,"family_size, is_alone, women_children_first",0.77751,0.02632
xgb,"family_size, age_group, fare_per_person",0.76794,0.01674
xgb,"family_size, age_group, deck",0.77033,0.01913
xgb,"family_size, age_group, has_cabin",0.76076,0.00956
xgb,"family_size, age_group, is_mother",0.7799,0.02871
xgb,"family_size, age_group, sex_pclass",0.77272,0.02152
xgb,"family_size, age_group, is_child",0.77272,0.02152
xgb,"family_size, age_group, women_children_first",0.77272,0.02152
xgb,"family_size, fare_per_person, deck",0.76315,0.01195
xgb,"family_size, fare_per_person, has_cabin",0.75358,0.00239
xgb,"family_size, fare_per_person, is_mother",0.76555,0.01435
xgb,"family_size, fare_per_person, sex_pclass",0.75837,0.00717
xgb,"family_size, fare_per_person, is_child",0.76794,0.01674
xgb,"family_size, fare_per_person, women_children_first",0.77272,0.02152
xgb,"family_size, deck, has_cabin",0.76555,0.01435
xgb,"family_size, deck, is_mother",0.76555,0.01435
xgb,"family_size, deck, sex_pclass",0.76555,0.01435
xgb,"family_size, deck, is_child",0.76076,0.00956
