model,features,accuracy_vs_kaggle,improvement
rf,"title, family_size",0.77751,0.01196
rf,"title, is_alone",0.78229,0.01674
rf,"title, age_group",0.78708,0.02153
rf,"title, fare_per_person",0.77751,0.01196
rf,"title, deck",0.78947,0.02392
rf,"title, has_cabin",0.78947,0.02392
rf,"title, is_mother",0.77751,0.01196
rf,"title, sex_pclass",0.78708,0.02153
rf,"title, is_child",0.78708,0.02153
rf,"title, women_children_first",0.78708,0.02153
rf,"family_size, is_alone",0.76555,0.0
rf,"family_size, age_group",0.77033,0.00478
rf,"family_size, fare_per_person",0.76076,-0.00478
rf,"family_size, deck",0.75358,-0.01196
rf,"family_size, has_cabin",0.75837,-0.00717
rf,"family_size, is_mother",0.77033,0.00478
rf,"family_size, sex_pclass",0.76555,0.0
rf,"family_size, is_child",0.77511,0.00956
rf,"family_size, women_children_first",0.78229,0.01674
rf,"is_alone, age_group",0.77751,0.01196
rf,"is_alone, fare_per_person",0.76555,0.0
rf,"is_alone, deck",0.75358,-0.01196
rf,"is_alone, has_cabin",0.75837,-0.00717
rf,"is_alone, is_mother",0.76555,0.0
rf,"is_alone, sex_pclass",0.76555,0.0
rf,"is_alone, is_child",0.7799,0.01435
rf,"is_alone, women_children_first",0.78468,0.01913
rf,"age_group, fare_per_person",0.78468,0.01913
rf,"age_group, deck",0.77751,0.01196
rf,"age_group, has_cabin",0.77272,0.00717
rf,"age_group, is_mother",0.78468,0.01913
rf,"age_group, sex_pclass",0.78468,0.01913
rf,"age_group, is_child",0.78468,0.01913
rf,"age_group, women_children_first",0.78468,0.01913
rf,"fare_per_person, deck",0.74401,-0.02154
rf,"fare_per_person, has_cabin",0.75837,-0.00717
rf,"fare_per_person, is_mother",0.77751,0.01196
rf,"fare_per_person, sex_pclass",0.77511,0.00956
rf,"fare_per_person, is_child",0.78468,0.01913
rf,"fare_per_person, women_children_first",0.78229,0.01674
rf,"deck, has_cabin",0.77272,0.00717
rf,"deck, is_mother",0.77272,0.00717
rf,"deck, sex_pclass",0.77272,0.00717
rf,"deck, is_child",0.78229,0.01674
rf,"deck, women_children_first",0.78229,0.01674
rf,"has_cabin, is_mother",0.76315,-0.00239
rf,"has_cabin, sex_pclass",0.76315,-0.00239
rf,"has_cabin, is_child",0.76794,0.00239
rf,"has_cabin, women_children_first",0.76794,0.00239
rf,"is_mother, sex_pclass",0.77751,0.01196
rf,"is_mother, is_child",0.78468,0.01913
rf,"is_mother, women_children_first",0.78468,0.01913
rf,"sex_pclass, is_child",0.78468,0.01913
rf,"sex_pclass, women_children_first",0.78468,0.01913
rf,"is_child, women_children_first",0.78468,0.01913
rf,"title, family_size, is_alone",0.7799,0.01435
rf,"title, family_size, age_group",0.78229,0.01674
rf,"title, family_size, fare_per_person",0.74401,-0.02154
rf,"title, family_size, deck",0.76794,0.00239
rf,"title, family_size, has_cabin",0.77751,0.01196
