model,features,accuracy_vs_kaggle,improvement
cb,"title, family_size",0.77751,-0.00478
cb,"title, is_alone",0.78708,0.00478
cb,"title, age_group",0.78708,0.00478
cb,"title, fare_per_person",0.78229,0.0
cb,"title, deck",0.78947,0.00717
cb,"title, has_cabin",0.78947,0.00717
cb,"title, is_mother",0.78708,0.00478
cb,"title, sex_pclass",0.78708,0.00478
cb,"title, is_child",0.78708,0.00478
cb,"title, women_children_first",0.78708,0.00478
cb,"family_size, is_alone",0.77272,-0.00957
cb,"family_size, age_group",0.78229,0.0
cb,"family_size, fare_per_person",0.77751,-0.00478
cb,"family_size, deck",0.7799,-0.00239
cb,"family_size, has_cabin",0.77511,-0.00718
cb,"family_size, is_mother",0.77751,-0.00478
cb,"family_size, sex_pclass",0.77751,-0.00478
cb,"family_size, is_child",0.78229,0.0
cb,"family_size, women_children_first",0.78229,0.0
cb,"is_alone, age_group",0.78468,0.00239
cb,"is_alone, fare_per_person",0.77511,-0.00718
cb,"is_alone, deck",0.7799,-0.00239
cb,"is_alone, has_cabin",0.77511,-0.00718
cb,"is_alone, is_mother",0.77751,-0.00478
cb,"is_alone, sex_pclass",0.77751,-0.00478
cb,"is_alone, is_child",0.78468,0.00239
cb,"is_alone, women_children_first",0.78468,0.00239
cb,"age_group, fare_per_person",0.77751,-0.00478
cb,"age_group, deck",0.78708,0.00478
cb,"age_group, has_cabin",0.78708,0.00478
cb,"age_group, is_mother",0.78468,0.00239
cb,"age_group, sex_pclass",0.78468,0.00239
cb,"age_group, is_child",0.78468,0.00239
cb,"age_group, women_children_first",0.78468,0.00239
cb,"fare_per_person, deck",0.76315,-0.01914
cb,"fare_per_person, has_cabin",0.78229,0.0
cb,"fare_per_person, is_mother",0.77511,-0.00718
cb,"fare_per_person, sex_pclass",0.77272,-0.00957
cb,"fare_per_person, is_child",0.78229,0.0
cb,"fare_per_person, women_children_first",0.78229,0.0
cb,"deck, has_cabin",0.77511,-0.00718
cb,"deck, is_mother",0.77511,-0.00718
cb,"deck, sex_pclass",0.7799,-0.00239
