iter	Logloss
0	0.6607064033
1	0.6324559458
2	0.6095398237
3	0.5872601186
4	0.5697344429
5	0.5546676127
6	0.5406400731
7	0.528606245
8	0.5183197506
9	0.5085640088
10	0.4970245953
11	0.4896336614
12	0.4820653758
13	0.475717507
14	0.470717134
15	0.4677028611
16	0.4642828554
17	0.4601463596
18	0.4557099353
19	0.4532960377
20	0.4495111597
21	0.4464751003
22	0.4432548364
23	0.4407405574
24	0.4381363597
25	0.4368725177
26	0.4351372367
27	0.4337414105
28	0.4318594787
29	0.4309051828
30	0.4289652102
31	0.4272909451
32	0.4255558009
33	0.4243792648
34	0.4237711939
35	0.4225610694
36	0.421160784
37	0.4199342536
38	0.4186430774
39	0.4176372956
40	0.4166733841
41	0.4156631933
42	0.4148442146
43	0.4140034696
44	0.4128565401
45	0.4124734268
46	0.4121481932
47	0.4112603918
48	0.4103940703
49	0.4096614175
50	0.4086152112
51	0.407379588
52	0.40696605
53	0.4064213034
54	0.4059621325
55	0.4055158697
56	0.4049878807
57	0.404551217
58	0.4038995242
59	0.4031144855
60	0.4027070586
61	0.4021868607
62	0.4019128439
63	0.4013812817
64	0.4008384017
65	0.4001384945
66	0.3997715079
67	0.3996006367
68	0.398929104
69	0.3987511332
70	0.3982837552
71	0.3981145307
72	0.3980139871
73	0.3971997719
74	0.396990524
75	0.3967424755
76	0.3961663255
77	0.3957726472
78	0.3953763274
79	0.3952654547
80	0.3945677147
81	0.3944469729
82	0.3942562666
83	0.3938447493
84	0.3932962443
85	0.3932040723
86	0.3929355976
87	0.392824444
88	0.392432234
89	0.3923064119
90	0.3921780052
91	0.391840986
92	0.3914317762
93	0.3913556351
94	0.3909192286
95	0.3908236831
96	0.3903723059
97	0.3902830418
98	0.3901204289
99	0.3900030452
