iter	Passed	Remaining
0	57	5731
1	58	2852
2	58	1890
3	58	1408
4	58	1119
5	59	926
6	59	788
7	59	685
8	59	604
9	60	540
10	60	487
11	60	443
12	60	406
13	60	373
14	61	346
15	61	322
16	61	300
17	61	281
18	62	264
19	62	249
20	62	235
21	62	222
22	63	211
23	63	200
24	63	190
25	63	181
26	64	173
27	64	165
28	64	157
29	64	151
30	64	144
31	65	138
32	65	133
33	65	127
34	66	122
35	66	118
36	66	113
37	66	109
38	67	104
39	67	100
40	67	97
41	67	93
42	67	90
43	68	86
44	68	83
45	68	80
46	68	77
47	68	74
48	69	72
49	69	69
50	69	66
51	69	64
52	69	62
53	70	59
54	70	57
55	70	55
56	70	53
57	71	51
58	71	49
59	71	47
60	71	45
61	71	44
62	71	42
63	72	40
64	72	38
65	72	37
66	72	35
67	73	34
68	73	32
69	73	31
70	73	30
71	73	28
72	74	27
73	74	26
74	74	24
75	74	23
76	74	22
77	75	21
78	75	20
79	76	19
80	76	17
81	76	16
82	76	15
83	77	14
84	78	13
85	78	12
86	78	11
87	78	10
88	78	9
89	79	8
90	79	7
91	79	6
92	79	5
93	79	5
94	80	4
95	80	3
96	80	2
97	80	1
98	80	0
99	81	0
