iter	Passed	Remaining
0	0	42
1	0	43
2	1	46
3	1	44
4	2	45
5	2	44
6	3	42
7	3	43
8	4	43
9	4	42
10	5	41
11	5	40
12	6	41
13	6	40
14	7	39
15	7	39
16	8	39
17	8	38
18	8	37
19	9	37
20	9	36
21	10	35
22	10	35
23	12	38
24	12	37
25	13	37
26	13	36
27	13	35
28	14	35
29	14	34
30	15	34
31	15	33
32	17	34
33	17	34
34	18	33
35	18	32
36	19	32
37	19	31
38	19	31
39	20	30
40	20	30
41	21	29
42	21	29
43	22	28
44	22	27
45	23	27
46	23	26
47	24	26
48	24	25
49	25	25
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	20
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	38	13
74	39	13
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	48	2
95	49	2
96	49	1
97	49	1
98	50	0
99	50	0
