accuracy,model,group
0.73205,dt,Baseline
0.75119,xgb,Baseline
0.76555,rf,Baseline
0.76555,lgbm,Baseline
0.77751,cb,Baseline
0.78708,dt,FE
0.76555,dt,FE
0.77751,dt,FE
0.78468,dt,FE
0.75837,dt,FE
0.77751,dt,FE
0.77751,dt,FE
0.77751,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.78708,xgb,FE
0.76555,xgb,FE
0.77751,xgb,FE
0.78468,xgb,FE
0.76315,xgb,FE
0.77751,xgb,FE
0.77751,xgb,FE
0.77751,xgb,FE
0.78468,xgb,FE
0.78468,xgb,FE
0.78708,rf,FE
0.75358,rf,FE
0.76555,rf,FE
0.78468,rf,FE
0.77272,rf,FE
0.77751,rf,FE
0.77751,rf,FE
0.77751,rf,FE
0.78468,rf,FE
0.78468,rf,FE
0.78708,lgbm,FE
0.76555,lgbm,FE
0.77751,lgbm,FE
0.78468,lgbm,FE
0.77511,lgbm,FE
0.77751,lgbm,FE
0.77751,lgbm,FE
0.77751,lgbm,FE
0.78468,lgbm,FE
0.78468,lgbm,FE
0.78708,cb,FE
0.76794,cb,FE
0.77751,cb,FE
0.78468,cb,FE
0.76076,cb,FE
0.77751,cb,FE
0.77751,cb,FE
0.77751,cb,FE
0.78468,cb,FE
0.78468,cb,FE
0.76076,dt,FE
0.7799,dt,FE
0.78708,dt,FE
0.73923,dt,FE
0.78708,dt,FE
0.78708,dt,FE
0.77751,dt,FE
0.78708,dt,FE
0.78708,dt,FE
0.76555,dt,FE
0.76794,dt,FE
0.74401,dt,FE
0.76555,dt,FE
0.76555,dt,FE
0.76315,dt,FE
0.77272,dt,FE
0.77272,dt,FE
0.7799,dt,FE
0.75598,dt,FE
0.77751,dt,FE
0.77751,dt,FE
0.77751,dt,FE
0.7799,dt,FE
0.78468,dt,FE
0.7488,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.75837,dt,FE
0.75837,dt,FE
0.75119,dt,FE
0.76794,dt,FE
0.77033,dt,FE
0.77751,dt,FE
0.77751,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.77751,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.78468,dt,FE
0.76076,dt,FE
0.77033,dt,FE
0.73684,dt,FE
0.76076,dt,FE
0.76076,dt,FE
0.75358,dt,FE
0.76076,dt,FE
0.76076,dt,FE
0.78708,dt,FE
0.7488,dt,FE
0.7799,dt,FE
0.7799,dt,FE
0.77751,dt,FE
0.7799,dt,FE
0.77751,dt,FE
0.74162,dt,FE
0.78708,dt,FE
0.78708,dt,FE
0.78708,dt,FE
0.78708,dt,FE
0.78468,dt,FE
0.73923,dt,FE
0.73923,dt,FE
0.73205,dt,FE
0.74162,dt,FE
0.73923,dt,FE
0.78708,dt,FE
0.77751,dt,FE
0.78708,dt,FE
0.78708,dt,FE
0.77751,dt,FE
0.78708,dt,FE
0.78708,dt,FE
0.77751,dt,FE
0.77751,dt,FE
0.78708,dt,FE
0.76794,dt,FE
0.74641,dt,FE
0.76555,dt,FE
0.76555,dt,FE
0.76315,dt,FE
