accuracy,Feature_Engineering,Model_Tuning,model
0.82122905,0,0,dt
0.73184358,0,0,dt
0.69832402,0,0,dt
0.75418994,0,0,dt
0.78212291,0,0,dt
0.80446927,0,0,xgb
0.77653631,0,0,xgb
0.75418994,0,0,xgb
0.79888268,0,0,xgb
0.79329609,0,0,xgb
0.80446927,0,0,rf
0.75977654,0,0,rf
0.74860335,0,0,rf
0.84357542,0,0,rf
0.79888268,0,0,rf
0.78212291,0,0,lgbm
0.7877095,0,0,lgbm
0.77653631,0,0,lgbm
0.82122905,0,0,lgbm
0.78212291,0,0,lgbm
0.81005587,0,0,cb
0.81564246,0,0,cb
0.78212291,0,0,cb
0.84916201,0,0,cb
0.79329609,0,0,cb
0.8067,1,0,dt
0.77542,1,0,dt
0.77765,1,0,dt
0.8,1,0,dt
0.79665,1,0,dt
0.79106,1,0,dt
0.79106,1,0,dt
0.79218,1,0,dt
0.8,1,0,dt
0.80559,1,0,dt
0.80894,1,0,xgb
0.76313,1,0,xgb
0.78212,1,0,xgb
0.79553,1,0,xgb
0.78994,1,0,xgb
0.79106,1,0,xgb
0.79106,1,0,xgb
0.79218,1,0,xgb
0.79553,1,0,xgb
0.80112,1,0,xgb
0.80447,1,0,rf
0.76425,1,0,rf
0.78101,1,0,rf
0.79888,1,0,rf
0.79553,1,0,rf
0.79106,1,0,rf
0.79106,1,0,rf
0.79218,1,0,rf
0.8,1,0,rf
0.80559,1,0,rf
0.8,1,0,lgbm
0.76983,1,0,lgbm
0.78212,1,0,lgbm
0.7933,1,0,lgbm
0.7933,1,0,lgbm
0.79106,1,0,lgbm
0.79106,1,0,lgbm
0.79106,1,0,lgbm
0.79218,1,0,lgbm
0.80223,1,0,lgbm
0.81006,1,0,cb
0.75978,1,0,cb
0.78212,1,0,cb
0.8,1,0,cb
0.79665,1,0,cb
0.79106,1,0,cb
0.79106,1,0,cb
0.79218,1,0,cb
0.8,1,0,cb
0.80559,1,0,cb
0.7933,1,0,dt
0.80223,1,0,dt
0.80335,1,0,dt
0.78994,1,0,dt
0.80782,1,0,dt
0.8067,1,0,dt
0.80782,1,0,dt
0.80335,1,0,dt
0.80447,1,0,dt
0.77318,1,0,dt
0.79106,1,0,dt
0.77765,1,0,dt
0.7743,1,0,dt
0.77542,1,0,dt
0.76872,1,0,dt
0.78883,1,0,dt
0.7933,1,0,dt
0.79218,1,0,dt
0.77542,1,0,dt
0.77765,1,0,dt
0.77765,1,0,dt
0.77989,1,0,dt
0.79106,1,0,dt
0.7933,1,0,dt
0.80894,1,0,dt
0.8,1,0,dt
0.8,1,0,dt
0.80223,1,0,dt
0.8,1,0,dt
0.8,1,0,dt
0.79553,1,0,dt
0.79665,1,0,dt
0.78547,1,0,dt
0.80223,1,0,dt
0.81341,1,0,dt
0.79106,1,0,dt
0.79218,1,0,dt
0.8,1,0,dt
0.80559,1,0,dt
0.79218,1,0,dt
0.8,1,0,dt
0.80559,1,0,dt
0.80223,1,0,dt
0.8067,1,0,dt
0.8,1,0,dt
0.79218,1,0,dt
0.79441,1,0,dt
0.78994,1,0,dt
0.79441,1,0,dt
0.7933,1,0,dt
0.79777,1,0,dt
0.79441,1,0,dt
0.79218,1,0,dt
0.79888,1,0,dt
0.79106,1,0,dt
0.80112,1,0,dt
0.80223,1,0,dt
0.79888,1,0,dt
0.80335,1,0,dt
0.8,1,0,dt
0.79441,1,0,dt
0.80223,1,0,dt
0.80335,1,0,dt
0.80447,1,0,dt
0.80335,1,0,dt
0.79888,1,0,dt
0.78883,1,0,dt
0.78994,1,0,dt
0.79441,1,0,dt
0.78547,1,0,dt
0.79665,1,0,dt
0.80782,1,0,dt
0.8067,1,0,dt
0.80223,1,0,dt
0.80335,1,0,dt
0.80782,1,0,dt
0.80335,1,0,dt
