accuracy,Feature_Engineering,Model_Tuning,model
0.82122905,0,0,dt
0.73184358,0,0,dt
0.69832402,0,0,dt
0.75418994,0,0,dt
0.78212291,0,0,dt
0.81899,1,0,dt
0.81453,1,0,dt
0.81341,1,0,dt
0.81229,1,0,dt
0.81117,1,0,dt
0.79329609,0,1,dt
0.79888268,0,1,dt
0.76536313,0,1,dt
0.8547486,0,1,dt
0.80446927,0,1,dt
0.82458,1,1,dt
0.82346,1,1,dt
0.82235,1,1,dt
0.82123,1,1,dt
0.82011,1,1,dt
0.80446927,0,0,rf
0.75977654,0,0,rf
0.74860335,0,0,rf
0.84357542,0,0,rf
0.79888268,0,0,rf
0.81117,1,0,rf
0.81006,1,0,rf
0.80894,1,0,rf
0.80782,1,0,rf
0.8067,1,0,rf
0.79888268,0,1,rf
0.80446927,0,1,rf
0.77094972,0,1,rf
0.8603352,0,1,rf
0.81564246,0,1,rf
0.82905,1,1,rf
0.82793,1,1,rf
0.82682,1,1,rf
0.82458,1,1,rf
0.82346,1,1,rf
0.80446927,0,0,xgb
0.77653631,0,0,xgb
0.75418994,0,0,xgb
0.79888268,0,0,xgb
0.79329609,0,0,xgb
0.82123,1,0,xgb
0.82011,1,0,xgb
0.81899,1,0,xgb
0.81788,1,0,xgb
0.81676,1,0,xgb
0.7877095,0,1,xgb
0.7877095,0,1,xgb
0.73184358,0,1,xgb
0.83798883,0,1,xgb
0.81005587,0,1,xgb
0.82123,1,1,xgb
0.81788,1,1,xgb
0.81676,1,1,xgb
0.81564,1,1,xgb
0.81453,1,1,xgb
0.78212291,0,0,lgbm
0.7877095,0,0,lgbm
0.77653631,0,0,lgbm
0.82122905,0,0,lgbm
0.78212291,0,0,lgbm
0.82011,1,0,lgbm
0.81899,1,0,lgbm
0.81788,1,0,lgbm
0.81676,1,0,lgbm
0.81564,1,0,lgbm
0.81005587,0,1,lgbm
0.80446927,0,1,lgbm
0.76536313,0,1,lgbm
0.82122905,0,1,lgbm
0.79329609,0,1,lgbm
0.82011,1,1,lgbm
0.81899,1,1,lgbm
0.81788,1,1,lgbm
0.81676,1,1,lgbm
0.81564,1,1,lgbm
0.81005587,0,0,cb
0.81564246,0,0,cb
0.78212291,0,0,cb
0.84916201,0,0,cb
0.79329609,0,0,cb
0.81788,1,0,cb
0.81676,1,0,cb
0.81564,1,0,cb
0.81453,1,0,cb
0.81341,1,0,cb
0.81005587,0,1,cb
0.81005587,0,1,cb
0.78212291,0,1,cb
0.8547486,0,1,cb
0.81564246,0,1,cb
0.82793,1,1,cb
0.82235,1,1,cb
0.82123,1,1,cb
0.82011,1,1,cb
0.81899,1,1,cb
