accuracy,Feature_Engineering,Model_Tuning,model
0.82122905,0,0,dt
0.73184358,0,0,dt
0.69832402,0,0,dt
0.75418994,0,0,dt
0.78212291,0,0,dt
0.80446927,0,0,xgb
0.77653631,0,0,xgb
0.75418994,0,0,xgb
0.79888268,0,0,xgb
0.79329609,0,0,xgb
0.80446927,0,0,rf
0.75977654,0,0,rf
0.74860335,0,0,rf
0.84357542,0,0,rf
0.79888268,0,0,rf
0.78212291,0,0,lgbm
0.7877095,0,0,lgbm
0.77653631,0,0,lgbm
0.82122905,0,0,lgbm
0.78212291,0,0,lgbm
0.81005587,0,0,cb
0.81564246,0,0,cb
0.78212291,0,0,cb
0.84916201,0,0,cb
0.79329609,0,0,cb
0.79888268,1,0,dt
0.79329609,1,0,dt
0.7877095,1,0,dt
0.8603352,1,0,dt
0.79329609,1,0,dt
0.77653631,1,0,dt
0.75418994,1,0,dt
0.74860335,1,0,dt
0.83240223,1,0,dt
0.76536313,1,0,dt
0.79329609,1,0,dt
0.77094972,1,0,dt
0.72625698,1,0,dt
0.82681564,1,0,dt
0.77094972,1,0,dt
0.79888268,1,0,dt
0.79329609,1,0,dt
0.77653631,1,0,dt
0.84916201,1,0,dt
0.78212291,1,0,dt
0.77653631,1,0,dt
0.80446927,1,0,dt
0.79329609,1,0,dt
0.83240223,1,0,dt
0.77653631,1,0,dt
0.79329609,1,0,dt
0.78212291,1,0,dt
0.78212291,1,0,dt
0.82681564,1,0,dt
0.77094972,1,0,dt
0.79329609,1,0,dt
0.78212291,1,0,dt
0.78212291,1,0,dt
0.82681564,1,0,dt
0.77094972,1,0,dt
0.79329609,1,0,dt
0.7877095,1,0,dt
0.77653631,1,0,dt
0.83240223,1,0,dt
0.77094972,1,0,dt
0.79888268,1,0,dt
0.79329609,1,0,dt
0.77653631,1,0,dt
0.84916201,1,0,dt
0.78212291,1,0,dt
0.79888268,1,0,dt
0.79329609,1,0,dt
0.80446927,1,0,dt
0.84916201,1,0,dt
0.78212291,1,0,dt
0.79329609,1,0,xgb
0.79329609,1,0,xgb
0.80446927,1,0,xgb
0.8603352,1,0,xgb
0.79329609,1,0,xgb
0.76536313,1,0,xgb
0.75977654,1,0,xgb
0.74860335,1,0,xgb
0.80446927,1,0,xgb
0.73743017,1,0,xgb
0.79329609,1,0,xgb
0.77094972,1,0,xgb
0.75418994,1,0,xgb
0.82681564,1,0,xgb
0.76536313,1,0,xgb
0.79888268,1,0,xgb
0.79329609,1,0,xgb
0.77653631,1,0,xgb
0.82681564,1,0,xgb
0.78212291,1,0,xgb
0.77094972,1,0,xgb
0.76536313,1,0,xgb
0.78212291,1,0,xgb
0.83240223,1,0,xgb
0.79888268,1,0,xgb
0.79329609,1,0,xgb
0.78212291,1,0,xgb
0.78212291,1,0,xgb
0.82681564,1,0,xgb
0.77094972,1,0,xgb
0.79329609,1,0,xgb
0.78212291,1,0,xgb
0.78212291,1,0,xgb
0.82681564,1,0,xgb
0.77094972,1,0,xgb
0.79329609,1,0,xgb
0.7877095,1,0,xgb
0.77653631,1,0,xgb
0.83240223,1,0,xgb
0.77094972,1,0,xgb
0.79888268,1,0,xgb
0.79329609,1,0,xgb
0.77653631,1,0,xgb
0.82681564,1,0,xgb
0.78212291,1,0,xgb
0.79888268,1,0,xgb
0.79329609,1,0,xgb
0.80446927,1,0,xgb
0.82681564,1,0,xgb
0.78212291,1,0,xgb
0.79329609,1,0,rf
0.79329609,1,0,rf
0.7877095,1,0,rf
0.8547486,1,0,rf
0.79329609,1,0,rf
0.76536313,1,0,rf
0.75977654,1,0,rf
0.74860335,1,0,rf
0.79329609,1,0,rf
0.75418994,1,0,rf
0.79329609,1,0,rf
0.77094972,1,0,rf
0.74860335,1,0,rf
0.82681564,1,0,rf
0.76536313,1,0,rf
