accuracy,model,group
0.82122905,dt,Baseline
0.73184358,dt,Baseline
0.69832402,dt,Baseline
0.75418994,dt,Baseline
0.78212291,dt,Baseline
0.80446927,xgb,Baseline
0.77653631,xgb,Baseline
0.75418994,xgb,Baseline
0.79888268,xgb,Baseline
0.79329609,xgb,Baseline
0.80446927,rf,Baseline
0.75977654,rf,Baseline
0.74860335,rf,Baseline
0.84357542,rf,Baseline
0.79888268,rf,Baseline
0.78212291,lgbm,Baseline
0.7877095,lgbm,Baseline
0.77653631,lgbm,Baseline
0.82122905,lgbm,Baseline
0.78212291,lgbm,Baseline
0.81005587,cb,Baseline
0.81564246,cb,Baseline
0.78212291,cb,Baseline
0.84916201,cb,Baseline
0.79329609,cb,Baseline
0.8067,dt,FE
0.77542,dt,FE
0.77765,dt,FE
0.8,dt,FE
0.79665,dt,FE
0.79106,dt,FE
0.79106,dt,FE
0.79218,dt,FE
0.8,dt,FE
0.80559,dt,FE
0.80894,xgb,FE
0.76313,xgb,FE
0.78212,xgb,FE
0.79553,xgb,FE
0.78994,xgb,FE
0.79106,xgb,FE
0.79106,xgb,FE
0.79218,xgb,FE
0.79553,xgb,FE
0.80112,xgb,FE
0.80447,rf,FE
0.76425,rf,FE
0.78101,rf,FE
0.79888,rf,FE
0.79553,rf,FE
0.79106,rf,FE
0.79106,rf,FE
0.79218,rf,FE
0.8,rf,FE
0.80559,rf,FE
0.8,lgbm,FE
0.76983,lgbm,FE
0.78212,lgbm,FE
0.7933,lgbm,FE
0.7933,lgbm,FE
0.79106,lgbm,FE
0.79106,lgbm,FE
0.79106,lgbm,FE
0.79218,lgbm,FE
0.80223,lgbm,FE
0.81006,cb,FE
0.75978,cb,FE
0.78212,cb,FE
0.8,cb,FE
0.79665,cb,FE
0.79106,cb,FE
0.79106,cb,FE
0.79218,cb,FE
0.8,cb,FE
0.80559,cb,FE
0.7933,dt,FE
0.80223,dt,FE
0.80335,dt,FE
0.78994,dt,FE
0.80782,dt,FE
0.8067,dt,FE
0.80782,dt,FE
0.80335,dt,FE
0.80447,dt,FE
0.77318,dt,FE
0.79106,dt,FE
0.77765,dt,FE
0.7743,dt,FE
0.77542,dt,FE
0.76872,dt,FE
0.78883,dt,FE
0.7933,dt,FE
0.79218,dt,FE
0.77542,dt,FE
0.77765,dt,FE
0.77765,dt,FE
0.77989,dt,FE
