accuracy,model,group
0.82122905,dt,Baseline
0.73184358,dt,Baseline
0.69832402,dt,Baseline
0.75418994,dt,Baseline
0.78212291,dt,Baseline
0.80446927,xgb,Baseline
0.77653631,xgb,Baseline
0.75418994,xgb,Baseline
0.79888268,xgb,Baseline
0.79329609,xgb,Baseline
0.80446927,rf,Baseline
0.75977654,rf,Baseline
0.74860335,rf,Baseline
0.84357542,rf,Baseline
0.79888268,rf,Baseline
0.78212291,lgbm,Baseline
0.7877095,lgbm,Baseline
0.77653631,lgbm,Baseline
0.82122905,lgbm,Baseline
0.78212291,lgbm,Baseline
0.81005587,cb,Baseline
0.81564246,cb,Baseline
0.78212291,cb,Baseline
0.84916201,cb,Baseline
0.79329609,cb,Baseline
0.79888268,dt,FE
0.79329609,dt,FE
0.7877095,dt,FE
0.8603352,dt,FE
0.79329609,dt,FE
0.77653631,dt,FE
0.75418994,dt,FE
0.74860335,dt,FE
0.83240223,dt,FE
0.76536313,dt,FE
0.79329609,dt,FE
0.77094972,dt,FE
0.72625698,dt,FE
0.82681564,dt,FE
0.77094972,dt,FE
0.79888268,dt,FE
0.79329609,dt,FE
0.77653631,dt,FE
0.84916201,dt,FE
0.78212291,dt,FE
0.77653631,dt,FE
0.80446927,dt,FE
0.79329609,dt,FE
0.83240223,dt,FE
0.77653631,dt,FE
0.79329609,dt,FE
0.78212291,dt,FE
0.78212291,dt,FE
0.82681564,dt,FE
0.77094972,dt,FE
0.79329609,dt,FE
0.78212291,dt,FE
0.78212291,dt,FE
0.82681564,dt,FE
0.77094972,dt,FE
0.79329609,dt,FE
0.7877095,dt,FE
0.77653631,dt,FE
0.83240223,dt,FE
0.77094972,dt,FE
0.79888268,dt,FE
0.79329609,dt,FE
0.77653631,dt,FE
0.84916201,dt,FE
0.78212291,dt,FE
0.79888268,dt,FE
0.79329609,dt,FE
0.80446927,dt,FE
0.84916201,dt,FE
0.78212291,dt,FE
0.79329609,xgb,FE
0.79329609,xgb,FE
0.80446927,xgb,FE
0.8603352,xgb,FE
0.79329609,xgb,FE
0.76536313,xgb,FE
0.75977654,xgb,FE
0.74860335,xgb,FE
0.80446927,xgb,FE
0.73743017,xgb,FE
0.79329609,xgb,FE
0.77094972,xgb,FE
0.75418994,xgb,FE
0.82681564,xgb,FE
0.76536313,xgb,FE
0.79888268,xgb,FE
0.79329609,xgb,FE
