model,features,accuracy_vs_kaggle,improvement,tuned,params
dt,"title, family_size",0.77751,0.0024,True,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}"
dt,"title, is_alone",0.78229,0.00718,True,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"title, age_group",0.78229,0.00718,True,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"title, fare_per_person",0.77511,0.0,True,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"title, deck",0.77751,0.0024,True,"{'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}"
dt,"title, has_cabin",0.78229,0.00718,True,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"title, is_mother",0.78229,0.00718,True,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"title, sex_pclass",0.78229,0.00718,True,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"title, is_child",0.78229,0.00718,True,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"title, women_children_first",0.78468,0.00957,True,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"family_size, is_alone",0.77751,0.0024,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"family_size, age_group",0.77511,0.0,True,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 2}"
dt,"family_size, fare_per_person",0.77511,0.0,True,"{'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"family_size, deck",0.77033,-0.00478,True,"{'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 2}"
dt,"family_size, has_cabin",0.76794,-0.00717,True,"{'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}"
dt,"family_size, is_mother",0.77511,0.0,True,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}"
dt,"family_size, sex_pclass",0.77751,0.0024,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}"
