model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
dt,0,"1, 2",0.75754,0.7933,0.03821,0.03576,,"[0.80446927, 0.75418994, 0.75977654, 0.86033520, 0.78770950]"
dt,0,"1, 3",0.75754,0.80223,0.02969,0.04469,,"[0.79329609, 0.77653631, 0.78770950, 0.86033520, 0.79329609]"
dt,0,"1, 4",0.75754,0.80223,0.02969,0.04469,,"[0.79329609, 0.78770950, 0.77653631, 0.86033520, 0.79329609]"
dt,0,"1, 5",0.75754,0.78994,0.03112,0.03239,,"[0.78212291, 0.77094972, 0.75977654, 0.84916201, 0.78770950]"
dt,0,"1, 6",0.75754,0.8,0.03377,0.04246,,"[0.78770950, 0.77094972, 0.78212291, 0.86592179, 0.79329609]"
dt,0,"1, 7",0.75754,0.80782,0.02682,0.05027,,"[0.80446927, 0.79329609, 0.78770950, 0.86033520, 0.79329609]"
dt,0,"1, 8",0.75754,0.80335,0.03006,0.04581,,"[0.79888268, 0.79329609, 0.77094972, 0.86033520, 0.79329609]"
dt,0,"1, 9",0.75754,0.80447,0.02804,0.04693,,"[0.79329609, 0.79329609, 0.78770950, 0.86033520, 0.78770950]"
dt,0,"1, 10",0.75754,0.8067,0.02705,0.04915,,"[0.79888268, 0.79329609, 0.78770950, 0.86033520, 0.79329609]"
dt,0,"1, 11",0.75754,0.8067,0.03152,0.04915,,"[0.81005587, 0.77653631, 0.78770950, 0.86592179, 0.79329609]"
dt,0,"2, 3",0.75754,0.77542,0.02922,0.01788,,"[0.77094972, 0.75418994, 0.75418994, 0.83240223, 0.76536313]"
dt,0,"2, 4",0.75754,0.79218,0.03796,0.03464,,"[0.80446927, 0.76536313, 0.75418994, 0.86033520, 0.77653631]"
dt,0,"2, 5",0.75754,0.7743,0.01752,0.01675,,"[0.77653631, 0.75977654, 0.75418994, 0.80446927, 0.77653631]"
dt,0,"2, 6",0.75754,0.76983,0.03168,0.01229,,"[0.75977654, 0.74860335, 0.74860335, 0.83240223, 0.75977654]"
dt,0,"2, 7",0.75754,0.7743,0.03011,0.01675,,"[0.77094972, 0.75418994, 0.74860335, 0.83240223, 0.76536313]"
dt,0,"2, 8",0.75754,0.78883,0.03957,0.03129,,"[0.79888268, 0.75977654, 0.74860335, 0.86033520, 0.77653631]"
dt,0,"2, 9",0.75754,0.7933,0.03277,0.03576,,"[0.79888268, 0.76536313, 0.77094972, 0.85474860, 0.77653631]"
dt,0,"2, 10",0.75754,0.77542,0.03006,0.01788,,"[0.77653631, 0.75418994, 0.74860335, 0.83240223, 0.76536313]"
dt,0,"2, 11",0.75754,0.78212,0.03586,0.02458,,"[0.78212291, 0.74301676, 0.77094972, 0.84916201, 0.76536313]"
dt,0,"3, 4",0.75754,0.79218,0.03188,0.03464,,"[0.79888268, 0.78212291, 0.75418994, 0.84916201, 0.77653631]"
dt,0,"3, 5",0.75754,0.77542,0.02483,0.01788,,"[0.77653631, 0.74860335, 0.75977654, 0.82122905, 0.77094972]"
dt,0,"3, 6",0.75754,0.7743,0.03172,0.01675,,"[0.78770950, 0.75977654, 0.73184358, 0.82681564, 0.76536313]"
dt,0,"3, 7",0.75754,0.77765,0.03284,0.0201,,"[0.79329609, 0.77094972, 0.72625698, 0.82681564, 0.77094972]"
dt,0,"3, 8",0.75754,0.79106,0.03437,0.03351,,"[0.79888268, 0.78212291, 0.74301676, 0.84916201, 0.78212291]"
dt,0,"3, 9",0.75754,0.79218,0.03284,0.03464,,"[0.79888268, 0.78212291, 0.74860335, 0.84916201, 0.78212291]"
dt,0,"3, 10",0.75754,0.77765,0.03284,0.0201,,"[0.79329609, 0.77094972, 0.72625698, 0.82681564, 0.77094972]"
dt,0,"3, 11",0.75754,0.7676,0.03699,0.01005,,"[0.77094972, 0.74860335, 0.73743017, 0.83798883, 0.74301676]"
dt,0,"4, 5",0.75754,0.81006,0.0229,0.05252,,"[0.79329609, 0.80446927, 0.79329609, 0.85474860, 0.80446927]"
dt,0,"4, 6",0.75754,0.79777,0.02458,0.04022,,"[0.79888268, 0.78770950, 0.77094972, 0.84357542, 0.78770950]"
dt,0,"4, 7",0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,"4, 8",0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,"4, 9",0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,"4, 10",0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,"4, 11",0.75754,0.79888,0.02914,0.04134,,"[0.79329609, 0.77094972, 0.78212291, 0.85474860, 0.79329609]"
dt,0,"5, 6",0.75754,0.78101,0.02677,0.02346,,"[0.75977654, 0.78212291, 0.76536313, 0.83240223, 0.76536313]"
dt,0,"5, 7",0.75754,0.79553,0.02195,0.03798,,"[0.77094972, 0.80446927, 0.79329609, 0.83240223, 0.77653631]"
dt,0,"5, 8",0.75754,0.80447,0.0187,0.04693,,"[0.78212291, 0.80446927, 0.79329609, 0.83798883, 0.80446927]"
dt,0,"5, 9",0.75754,0.81341,0.02138,0.05586,,"[0.79329609, 0.80446927, 0.80446927, 0.85474860, 0.81005587]"
dt,0,"5, 10",0.75754,0.79777,0.02072,0.04022,,"[0.77653631, 0.80446927, 0.79888268, 0.83240223, 0.77653631]"
dt,0,"5, 11",0.75754,0.79441,0.01781,0.03686,,"[0.77653631, 0.79888268, 0.78212291, 0.82681564, 0.78770950]"
dt,0,"6, 7",0.75754,0.78547,0.02223,0.02793,,"[0.78212291, 0.78212291, 0.77653631, 0.82681564, 0.75977654]"
dt,0,"6, 8",0.75754,0.79441,0.0263,0.03686,,"[0.79329609, 0.78770950, 0.76536313, 0.84357542, 0.78212291]"
dt,0,"6, 9",0.75754,0.8,0.02246,0.04246,,"[0.78770950, 0.78770950, 0.79888268, 0.84357542, 0.78212291]"
dt,0,"6, 10",0.75754,0.78771,0.02235,0.03017,,"[0.79329609, 0.78212291, 0.77653631, 0.82681564, 0.75977654]"
dt,0,"6, 11",0.75754,0.77989,0.02883,0.02234,,"[0.78212291, 0.75977654, 0.77653631, 0.83240223, 0.74860335]"
dt,0,"7, 8",0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,"7, 9",0.75754,0.80559,0.02301,0.04805,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,0,"7, 10",0.75754,0.79106,0.01922,0.03351,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,0,"7, 11",0.75754,0.78212,0.02596,0.02458,,"[0.77653631, 0.76536313, 0.77653631, 0.83240223, 0.75977654]"
dt,0,"8, 9",0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,"8, 10",0.75754,0.8,0.02582,0.04246,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,"8, 11",0.75754,0.79665,0.03052,0.0391,,"[0.79888268, 0.77653631, 0.77094972, 0.85474860, 0.78212291]"
dt,0,"9, 10",0.75754,0.80559,0.02301,0.04805,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,0,"9, 11",0.75754,0.80559,0.02965,0.04805,,"[0.80446927, 0.77653631, 0.80446927, 0.86033520, 0.78212291]"
dt,0,"10, 11",0.75754,0.78212,0.02596,0.02458,,"[0.77653631, 0.76536313, 0.77653631, 0.83240223, 0.75977654]"
dt,0,"1, 2, 3",0.75754,0.79106,0.03437,0.03351,,"[0.80446927, 0.75418994, 0.75977654, 0.84916201, 0.78770950]"
dt,0,"1, 2, 4",0.75754,0.79665,0.03815,0.0391,,"[0.80446927, 0.75977654, 0.76536313, 0.86592179, 0.78770950]"
dt,0,"1, 2, 5",0.75754,0.7933,0.02029,0.03576,,"[0.79888268, 0.76536313, 0.78212291, 0.82681564, 0.79329609]"
dt,0,"1, 2, 6",0.75754,0.78883,0.03957,0.03129,,"[0.79888268, 0.74860335, 0.75977654, 0.86033520, 0.77653631]"
