model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
rf,0,"1, 2",0.79106,0.78659,0.02965,-0.00446,,"[0.79888268, 0.75418994, 0.76536313, 0.83798883, 0.77653631]"
rf,0,"1, 3",0.79106,0.80112,0.02728,0.01006,,"[0.79329609, 0.79329609, 0.78212291, 0.85474860, 0.78212291]"
rf,0,"1, 4",0.79106,0.80223,0.02796,0.01117,,"[0.79888268, 0.79329609, 0.77094972, 0.85474860, 0.79329609]"
rf,0,"1, 5",0.79106,0.79665,0.03231,0.00558,,"[0.78212291, 0.78212291, 0.75977654, 0.85474860, 0.80446927]"
rf,0,"1, 6",0.79106,0.79665,0.03307,0.00558,,"[0.78770950, 0.77094972, 0.77094972, 0.86033520, 0.79329609]"
rf,0,"1, 7",0.79106,0.8067,0.02463,0.01563,,"[0.80446927, 0.79329609, 0.78770950, 0.85474860, 0.79329609]"
rf,0,"1, 8",0.79106,0.80112,0.02751,0.01006,,"[0.78770950, 0.79329609, 0.77653631, 0.85474860, 0.79329609]"
rf,0,"1, 9",0.79106,0.80447,0.02523,0.01341,,"[0.79329609, 0.79329609, 0.78770950, 0.85474860, 0.79329609]"
rf,0,"1, 10",0.79106,0.80447,0.02523,0.01341,,"[0.79329609, 0.79329609, 0.78770950, 0.85474860, 0.79329609]"
rf,0,"1, 11",0.79106,0.80335,0.02723,0.01229,,"[0.80446927, 0.77653631, 0.78770950, 0.85474860, 0.79329609]"
rf,0,"2, 3",0.79106,0.76089,0.01671,-0.03017,,"[0.75418994, 0.75977654, 0.74860335, 0.79329609, 0.74860335]"
rf,0,"2, 4",0.79106,0.78659,0.03265,-0.00446,,"[0.79888268, 0.77094972, 0.74860335, 0.84357542, 0.77094972]"
rf,0,"2, 5",0.79106,0.77542,0.02161,-0.01563,,"[0.79329609, 0.75418994, 0.74860335, 0.80446927, 0.77653631]"
rf,0,"2, 6",0.79106,0.76089,0.02246,-0.03017,,"[0.75977654, 0.74860335, 0.74860335, 0.80446927, 0.74301676]"
rf,0,"2, 7",0.79106,0.76425,0.01556,-0.02681,,"[0.76536313, 0.75977654, 0.74860335, 0.79329609, 0.75418994]"
rf,0,"2, 8",0.79106,0.78436,0.034,-0.0067,,"[0.79888268, 0.75977654, 0.74860335, 0.84357542, 0.77094972]"
rf,0,"2, 9",0.79106,0.78659,0.02328,-0.00446,,"[0.79888268, 0.76536313, 0.77094972, 0.82681564, 0.77094972]"
rf,0,"2, 10",0.79106,0.76425,0.01556,-0.02681,,"[0.76536313, 0.75977654, 0.74860335, 0.79329609, 0.75418994]"
rf,0,"2, 11",0.79106,0.77207,0.02483,-0.01898,,"[0.75977654, 0.75418994, 0.75977654, 0.82122905, 0.76536313]"
rf,0,"3, 4",0.79106,0.79218,0.03188,0.00112,,"[0.79888268, 0.78212291, 0.75418994, 0.84916201, 0.77653631]"
rf,0,"3, 5",0.79106,0.77318,0.0284,-0.01788,,"[0.77094972, 0.74301676, 0.76536313, 0.82681564, 0.75977654]"
rf,0,"3, 6",0.79106,0.77877,0.0284,-0.01229,,"[0.78212291, 0.75977654, 0.75418994, 0.83240223, 0.76536313]"
rf,0,"3, 7",0.79106,0.78212,0.02572,-0.00893,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
rf,0,"3, 8",0.79106,0.79218,0.03284,0.00112,,"[0.79888268, 0.78212291, 0.74860335, 0.84916201, 0.78212291]"
rf,0,"3, 9",0.79106,0.79665,0.02751,0.00558,,"[0.79888268, 0.78212291, 0.77653631, 0.84916201, 0.77653631]"
rf,0,"3, 10",0.79106,0.78101,0.027,-0.01005,,"[0.79329609, 0.77094972, 0.74860335, 0.82681564, 0.76536313]"
