model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
lgbm,0,"1, 2",0.78994,0.79441,0.02328,0.00446,,"[0.79888268, 0.77653631, 0.78212291, 0.83798883, 0.77653631]"
lgbm,0,"1, 3",0.78994,0.79441,0.02407,0.00446,,"[0.79329609, 0.76536313, 0.79329609, 0.83798883, 0.78212291]"
lgbm,0,"1, 4",0.78994,0.79441,0.01244,0.00446,,"[0.79329609, 0.79329609, 0.77653631, 0.81564246, 0.79329609]"
lgbm,0,"1, 5",0.78994,0.80559,0.03592,0.01565,,"[0.79329609, 0.78770950, 0.78212291, 0.87709497, 0.78770950]"
lgbm,0,"1, 6",0.78994,0.80782,0.02751,0.01788,,"[0.78770950, 0.79329609, 0.78770950, 0.86033520, 0.81005587]"
lgbm,0,"1, 7",0.78994,0.80223,0.00835,0.01229,,"[0.80446927, 0.79329609, 0.80446927, 0.81564246, 0.79329609]"
lgbm,0,"1, 8",0.78994,0.79553,0.01254,0.00558,,"[0.79888268, 0.79329609, 0.77653631, 0.81564246, 0.79329609]"
lgbm,0,"1, 9",0.78994,0.80447,0.0187,0.01453,,"[0.80446927, 0.79329609, 0.80446927, 0.83798883, 0.78212291]"
lgbm,0,"1, 10",0.78994,0.8,0.00894,0.01006,,"[0.79329609, 0.79329609, 0.80446927, 0.81564246, 0.79329609]"
lgbm,0,"1, 11",0.78994,0.79665,0.0135,0.0067,,"[0.79329609, 0.78212291, 0.79888268, 0.82122905, 0.78770950]"
lgbm,0,"2, 3",0.78994,0.7676,0.02251,-0.02234,,"[0.76536313, 0.77653631, 0.75418994, 0.80446927, 0.73743017]"
lgbm,0,"2, 4",0.78994,0.79888,0.02737,0.00894,,"[0.80446927, 0.78212291, 0.77094972, 0.84916201, 0.78770950]"
lgbm,0,"2, 5",0.78994,0.77542,0.02218,-0.01451,,"[0.75977654, 0.76536313, 0.75418994, 0.81564246, 0.78212291]"
lgbm,0,"2, 6",0.78994,0.77095,0.02473,-0.01898,,"[0.77094972, 0.77094972, 0.75418994, 0.81564246, 0.74301676]"
lgbm,0,"2, 7",0.78994,0.76648,0.02161,-0.02345,,"[0.76536313, 0.77094972, 0.74860335, 0.80446927, 0.74301676]"
lgbm,0,"2, 8",0.78994,0.8,0.02582,0.01006,,"[0.79888268, 0.78212291, 0.77653631, 0.84916201, 0.79329609]"
lgbm,0,"2, 9",0.78994,0.78771,0.02804,-0.00222,,"[0.79329609, 0.77653631, 0.77653631, 0.83798883, 0.75418994]"
lgbm,0,"2, 10",0.78994,0.76983,0.0263,-0.0201,,"[0.76536313, 0.77653631, 0.75418994, 0.81564246, 0.73743017]"
lgbm,0,"2, 11",0.78994,0.77318,0.02658,-0.01675,,"[0.77653631, 0.74860335, 0.77094972, 0.82122905, 0.74860335]"
lgbm,0,"3, 4",0.78994,0.78436,0.01922,-0.00558,,"[0.79888268, 0.78212291, 0.75418994, 0.81005587, 0.77653631]"
lgbm,0,"3, 5",0.78994,0.77989,0.02818,-0.01005,,"[0.77653631, 0.74860335, 0.76536313, 0.83240223, 0.77653631]"
lgbm,0,"3, 6",0.78994,0.78324,0.02533,-0.00669,,"[0.79329609, 0.77653631, 0.75418994, 0.82681564, 0.76536313]"
lgbm,0,"3, 7",0.78994,0.77765,0.03148,-0.01229,,"[0.79329609, 0.77094972, 0.73184358, 0.82681564, 0.76536313]"
lgbm,0,"3, 8",0.78994,0.78324,0.02102,-0.00669,,"[0.79888268, 0.78212291, 0.74860335, 0.81005587, 0.77653631]"
lgbm,0,"3, 9",0.78994,0.78994,0.01254,0.0,,"[0.79888268, 0.78212291, 0.77653631, 0.81005587, 0.78212291]"
lgbm,0,"3, 10",0.78994,0.78212,0.02572,-0.00781,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
lgbm,0,"3, 11",0.78994,0.77765,0.02813,-0.01229,,"[0.78770950, 0.77094972, 0.75418994, 0.82681564, 0.74860335]"
lgbm,0,"4, 5",0.78994,0.81117,0.03377,0.02122,,"[0.79888268, 0.79329609, 0.78212291, 0.87709497, 0.80446927]"
lgbm,0,"4, 6",0.78994,0.79441,0.00961,0.00446,,"[0.79888268, 0.79329609, 0.78770950, 0.81005587, 0.78212291]"
lgbm,0,"4, 7",0.78994,0.8,0.02582,0.01006,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
lgbm,0,"4, 8",0.78994,0.7933,0.01836,0.00336,,"[0.79888268, 0.78212291, 0.77653631, 0.82681564, 0.78212291]"
lgbm,0,"4, 9",0.78994,0.8,0.02582,0.01006,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
lgbm,0,"4, 10",0.78994,0.7933,0.01836,0.00336,,"[0.79888268, 0.78212291, 0.77653631, 0.82681564, 0.78212291]"
