model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
cb,0,"1, 2",0.81006,0.7933,0.0262,-0.01675,,"[0.79329609, 0.77094972, 0.78212291, 0.84357542, 0.77653631]"
cb,0,"1, 3",0.81006,0.80223,0.02969,-0.00783,,"[0.79329609, 0.77653631, 0.78770950, 0.86033520, 0.79329609]"
cb,0,"1, 4",0.81006,0.8,0.01634,-0.01005,,"[0.79329609, 0.79329609, 0.78770950, 0.83240223, 0.79329609]"
cb,0,"1, 5",0.81006,0.8067,0.0284,-0.00336,,"[0.78770950, 0.81005587, 0.78212291, 0.86033520, 0.79329609]"
cb,0,"1, 6",0.81006,0.80335,0.02857,-0.0067,,"[0.78770950, 0.78770950, 0.78770950, 0.86033520, 0.79329609]"
cb,0,"1, 7",0.81006,0.81006,0.0229,0.0,,"[0.80446927, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,0,"1, 8",0.81006,0.80335,0.02677,-0.0067,,"[0.79888268, 0.79329609, 0.77653631, 0.85474860, 0.79329609]"
cb,0,"1, 9",0.81006,0.81006,0.0229,0.0,,"[0.80446927, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,0,"1, 10",0.81006,0.81006,0.0229,0.0,,"[0.80446927, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,0,"1, 11",0.81006,0.81117,0.02354,0.0011,,"[0.81005587, 0.78770950, 0.81005587, 0.85474860, 0.79329609]"
cb,0,"2, 3",0.81006,0.75978,0.0206,-0.05027,,"[0.75418994, 0.75977654, 0.74301676, 0.79888268, 0.74301676]"
cb,0,"2, 4",0.81006,0.7933,0.031,-0.01675,,"[0.80446927, 0.76536313, 0.77094972, 0.84916201, 0.77653631]"
cb,0,"2, 5",0.81006,0.77318,0.02048,-0.03688,,"[0.76536313, 0.77653631, 0.74860335, 0.81005587, 0.76536313]"
cb,0,"2, 6",0.81006,0.76313,0.03052,-0.04693,,"[0.74860335, 0.75977654, 0.75418994, 0.82122905, 0.73184358]"
cb,0,"2, 7",0.81006,0.76648,0.02161,-0.04357,,"[0.76536313, 0.77094972, 0.74860335, 0.80446927, 0.74301676]"
cb,0,"2, 8",0.81006,0.78771,0.03479,-0.02234,,"[0.78770950, 0.75977654, 0.77094972, 0.85474860, 0.76536313]"
cb,0,"2, 9",0.81006,0.78436,0.02658,-0.0257,,"[0.79329609, 0.76536313, 0.77094972, 0.83240223, 0.75977654]"
cb,0,"2, 10",0.81006,0.75978,0.0206,-0.05027,,"[0.75418994, 0.75977654, 0.74301676, 0.79888268, 0.74301676]"
cb,0,"2, 11",0.81006,0.77318,0.02167,-0.03688,,"[0.77094972, 0.75977654, 0.75977654, 0.81564246, 0.75977654]"
cb,0,"3, 4",0.81006,0.78771,0.02422,-0.02234,,"[0.79888268, 0.78212291, 0.75418994, 0.82681564, 0.77653631]"
cb,0,"3, 5",0.81006,0.78771,0.02473,-0.02234,,"[0.78770950, 0.78770950, 0.75977654, 0.83240223, 0.77094972]"
cb,0,"3, 6",0.81006,0.78547,0.02463,-0.02459,,"[0.79888268, 0.77653631, 0.75977654, 0.82681564, 0.76536313]"
cb,0,"3, 7",0.81006,0.78324,0.02508,-0.02681,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.77094972]"
cb,0,"3, 8",0.81006,0.79218,0.03284,-0.01788,,"[0.79888268, 0.78212291, 0.74860335, 0.84916201, 0.78212291]"
cb,0,"3, 9",0.81006,0.79777,0.02677,-0.01229,,"[0.79888268, 0.78212291, 0.77653631, 0.84916201, 0.78212291]"
cb,0,"3, 10",0.81006,0.78212,0.02572,-0.02793,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
cb,0,"3, 11",0.81006,0.78659,0.02677,-0.02346,,"[0.78770950, 0.77094972, 0.77094972, 0.83798883, 0.76536313]"
cb,0,"4, 5",0.81006,0.79888,0.032,-0.01117,,"[0.78212291, 0.79888268, 0.77094972, 0.86033520, 0.78212291]"
cb,0,"4, 6",0.81006,0.80223,0.02463,-0.00783,,"[0.80446927, 0.78770950, 0.78212291, 0.84916201, 0.78770950]"
cb,0,"4, 7",0.81006,0.79553,0.01752,-0.01453,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,0,"4, 8",0.81006,0.79553,0.01752,-0.01453,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
cb,0,"4, 9",0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
