model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
xgb,0,1,0.78547,0.80894,0.02606,0.02346,,"[0.79329609, 0.79329609, 0.80446927, 0.86033520, 0.79329609]"
xgb,0,2,0.78547,0.76313,0.02279,-0.02234,,"[0.76536313, 0.75977654, 0.74860335, 0.80446927, 0.73743017]"
xgb,0,3,0.78547,0.78212,0.02572,-0.00334,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
xgb,0,4,0.78547,0.79553,0.01752,0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
xgb,0,5,0.78547,0.78994,0.02412,0.00446,,"[0.77094972, 0.76536313, 0.78212291, 0.83240223, 0.79888268]"
xgb,0,6,0.78547,0.78659,0.02433,0.00112,,"[0.78212291, 0.78212291, 0.77653631, 0.83240223, 0.75977654]"
xgb,0,7,0.78547,0.79106,0.01922,0.00558,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,0,8,0.78547,0.79553,0.01752,0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
xgb,0,9,0.78547,0.80112,0.01482,0.01565,,"[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
xgb,0,10,0.78547,0.79106,0.01922,0.00558,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,0,11,0.78547,0.78659,0.02483,0.00112,,"[0.79888268, 0.75418994, 0.78212291, 0.82681564, 0.77094972]"
