model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
cb,0,1,0.81006,0.81006,0.0229,0.0,,"[0.80446927, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,0,2,0.81006,0.75978,0.0206,-0.05027,,"[0.75418994, 0.75977654, 0.74301676, 0.79888268, 0.74301676]"
cb,0,3,0.81006,0.78212,0.02572,-0.02793,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
cb,0,4,0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,5,0.81006,0.79665,0.0236,-0.01341,,"[0.79329609, 0.79888268, 0.78770950, 0.83798883, 0.76536313]"
cb,0,6,0.81006,0.78994,0.02463,-0.02012,,"[0.79888268, 0.78212291, 0.77653631, 0.83240223, 0.75977654]"
cb,0,7,0.81006,0.79106,0.01922,-0.019,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,0,8,0.81006,0.8,0.02582,-0.01005,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,9,0.81006,0.80559,0.02301,-0.00446,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
cb,0,10,0.81006,0.79106,0.01922,-0.019,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,0,11,0.81006,0.78994,0.02412,-0.02012,,"[0.78212291, 0.76536313, 0.79888268, 0.83240223, 0.77094972]"
