model,feature_num,baseline,kaggle_score,improvement,tuned,params
xgb,"1, 2",0.75119,0.77751,0.02632,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}"
xgb,"1, 3",0.75119,0.78708,0.03588,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}"
xgb,"1, 4",0.75119,0.78468,0.03349,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 0.8}"
xgb,"1, 5",0.75119,0.77751,0.02632,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}"
xgb,"1, 6",0.75119,0.78708,0.03588,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 0.8}"
xgb,"1, 7",0.75119,0.78708,0.03588,1,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}"
xgb,"1, 8",0.75119,0.77751,0.02632,1,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 2, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 1.0}"
xgb,"1, 9",0.75119,0.78708,0.03588,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}"
xgb,"1, 10",0.75119,0.78708,0.03588,1,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}"
xgb,"2, 3",0.75119,0.77751,0.02632,1,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}"
xgb,"2, 4",0.75119,0.78229,0.0311,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}"
xgb,"2, 5",0.75119,0.76315,0.01195,1,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 1.0}"
xgb,"2, 6",0.75119,0.77751,0.02632,1,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}"
xgb,"2, 7",0.75119,0.77751,0.02632,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}"
xgb,"2, 8",0.75119,0.77751,0.02632,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 0.8}"
xgb,"2, 9",0.75119,0.78229,0.0311,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}"
xgb,"2, 10",0.75119,0.78229,0.0311,1,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.3, 'colsample_bytree': 1.0}"
xgb,"3, 4",0.75119,0.78468,0.03349,1,"{'subsample': 1.0, 'reg_lambda': 10, 'reg_alpha': 2, 'n_estimators': 50, 'max_depth': 7, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 1.0}"
xgb,"3, 5",0.75119,0.76315,0.01195,1,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 1.0}"
