model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
xgb,0,"1, 2",0.78547,0.78659,0.0263,0.00112,,"[0.79329609, 0.75418994, 0.77094972, 0.83240223, 0.78212291]"
xgb,0,"1, 3",0.78547,0.80559,0.03048,0.02012,,"[0.79329609, 0.79329609, 0.78212291, 0.86592179, 0.79329609]"
xgb,0,"1, 4",0.78547,0.80112,0.01564,0.01565,,"[0.79329609, 0.79329609, 0.79329609, 0.83240223, 0.79329609]"
xgb,0,"1, 5",0.78547,0.8,0.03128,0.01453,,"[0.79888268, 0.77653631, 0.77653631, 0.86033520, 0.78770950]"
xgb,0,"1, 6",0.78547,0.8067,0.02969,0.02122,,"[0.79329609, 0.79329609, 0.78770950, 0.86592179, 0.79329609]"
xgb,0,"1, 7",0.78547,0.80894,0.02606,0.02346,,"[0.79329609, 0.79329609, 0.80446927, 0.86033520, 0.79329609]"
xgb,0,"1, 8",0.78547,0.80782,0.02682,0.02234,,"[0.79329609, 0.78770950, 0.80446927, 0.86033520, 0.79329609]"
xgb,0,"1, 9",0.78547,0.80223,0.01524,0.01675,,"[0.79888268, 0.79329609, 0.79329609, 0.83240223, 0.79329609]"
xgb,0,"1, 10",0.78547,0.80782,0.02412,0.02234,,"[0.79888268, 0.79329609, 0.80446927, 0.85474860, 0.78770950]"
xgb,0,"2, 3",0.78547,0.76313,0.02279,-0.02234,,"[0.76536313, 0.75977654, 0.74860335, 0.80446927, 0.73743017]"
xgb,0,"2, 4",0.78547,0.78994,0.03343,0.00446,,"[0.80446927, 0.76536313, 0.75977654, 0.84916201, 0.77094972]"
xgb,0,"2, 5",0.78547,0.78212,0.02998,-0.00334,,"[0.78770950, 0.74860335, 0.75418994, 0.83240223, 0.78770950]"
xgb,0,"2, 6",0.78547,0.76648,0.02273,-0.01898,,"[0.76536313, 0.75977654, 0.74860335, 0.81005587, 0.74860335]"
xgb,0,"2, 7",0.78547,0.76313,0.02279,-0.02234,,"[0.76536313, 0.75977654, 0.74860335, 0.80446927, 0.73743017]"
