model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
dt,1,1,0.75754,0.80335,0.01849,0.04581,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,2,0.75754,0.78101,0.02354,0.02346,"{'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 4}","[0.77653631, 0.75977654, 0.77094972, 0.82681564, 0.77094972]"
dt,1,3,0.75754,0.78212,0.02914,0.02458,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,4,0.75754,0.80112,0.01482,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
dt,1,5,0.75754,0.80223,0.02463,0.04469,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}","[0.78212291, 0.80446927, 0.78770950, 0.84916201, 0.78770950]"
dt,1,6,0.75754,0.79106,0.01922,0.03351,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,7,0.75754,0.79106,0.01922,0.03351,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,8,0.75754,0.79106,0.01922,0.03351,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,9,0.75754,0.80112,0.01482,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
dt,1,10,0.75754,0.80559,0.02301,0.04805,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
