model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
xgb,1,1,0.78547,0.81117,0.02508,0.02569,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.80446927, 0.79329609, 0.80446927, 0.86033520, 0.79329609]"
xgb,1,2,0.78547,0.78547,0.01603,0.0,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.78770950, 0.77653631, 0.77653631, 0.81564246, 0.77094972]"
xgb,1,3,0.78547,0.79106,0.01922,0.00558,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,4,0.78547,0.79777,0.01781,0.01229,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.79888268, 0.77653631, 0.80446927, 0.82681564, 0.78212291]"
xgb,1,5,0.78547,0.79218,0.01745,0.0067,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.78770950, 0.78212291, 0.78212291, 0.82681564, 0.78212291]"
xgb,1,6,0.78547,0.79106,0.01922,0.00558,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 0.8}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,7,0.78547,0.79106,0.01922,0.00558,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 2, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,8,0.78547,0.79106,0.01922,0.00558,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 2, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,9,0.78547,0.80112,0.01482,0.01565,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 2, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
xgb,1,10,0.78547,0.80223,0.0168,0.01675,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 0.8}","[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.78212291]"
