model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
lgbm,1,1,0.78994,0.80112,0.0115,0.01118,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 2.0, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 0.8}","[0.79329609, 0.78770950, 0.79888268, 0.82122905, 0.80446927]"
lgbm,1,2,0.78994,0.78994,0.01716,0.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.8}","[0.80446927, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
lgbm,1,3,0.78994,0.79106,0.01922,0.00112,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,4,0.78994,0.79218,0.01193,0.00224,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.77653631, 0.81005587, 0.78212291]"
lgbm,1,5,0.78994,0.78883,0.01516,-0.0011,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 2.0, 'n_estimators': 50, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.81564246, 0.77094972]"
lgbm,1,6,0.78994,0.79106,0.01922,0.00112,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,7,0.78994,0.79106,0.01922,0.00112,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,8,0.78994,0.79106,0.01922,0.00112,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,9,0.78994,0.79888,0.00999,0.00894,"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 2.0, 'n_estimators': 150, 'min_child_samples': 10, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.80446927, 0.79329609, 0.80446927, 0.81005587, 0.78212291]"
lgbm,1,10,0.78994,0.80112,0.01822,0.01118,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.77653631]"
