model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
cb,1,1,0.81006,0.80782,0.02386,-0.00224,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.04, 'l2_leaf_reg': 10, 'iterations': 600, 'depth': 6, 'border_count': 32, 'bagging_temperature': 0.5}","[0.79329609, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,1,2,0.81006,0.76536,0.01368,-0.04469,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.76536313, 0.75418994, 0.77094972, 0.78770950, 0.74860335]"
cb,1,3,0.81006,0.78212,0.02572,-0.02793,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.02, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 10, 'border_count': 32, 'bagging_temperature': 2.0}","[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
cb,1,4,0.81006,0.8,0.02582,-0.01005,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.02, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 10, 'border_count': 32, 'bagging_temperature': 2.0}","[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,1,5,0.81006,0.79441,0.02072,-0.01565,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.04, 'l2_leaf_reg': 10, 'iterations': 400, 'depth': 7, 'border_count': 128, 'bagging_temperature': 2.0}","[0.78770950, 0.79888268, 0.77653631, 0.83240223, 0.77653631]"
cb,1,6,0.81006,0.79106,0.01922,-0.019,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 1200, 'depth': 5, 'border_count': 64, 'bagging_temperature': 2.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,1,7,0.81006,0.79106,0.01922,-0.019,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 1200, 'depth': 5, 'border_count': 64, 'bagging_temperature': 2.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,1,8,0.81006,0.79218,0.02161,-0.01788,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.04, 'l2_leaf_reg': 10, 'iterations': 600, 'depth': 6, 'border_count': 32, 'bagging_temperature': 0.5}","[0.79329609, 0.78770950, 0.77653631, 0.83240223, 0.77094972]"
cb,1,9,0.81006,0.80112,0.01482,-0.00893,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
cb,1,10,0.81006,0.80112,0.01482,-0.00893,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 1200, 'depth': 5, 'border_count': 64, 'bagging_temperature': 2.0}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
