model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
dt,1,"1, 2",0.75754,0.80112,0.02412,0.04358,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.81005587, 0.77653631, 0.78212291, 0.84357542, 0.79329609]"
dt,1,"1, 3",0.75754,0.7933,0.02691,0.03576,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.75418994, 0.83798883, 0.78770950]"
dt,1,"1, 4",0.75754,0.80335,0.01849,0.04581,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 5",0.75754,0.80223,0.0189,0.04469,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 6",0.75754,0.80335,0.01849,0.04581,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 7",0.75754,0.80335,0.01849,0.04581,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 8",0.75754,0.80335,0.01849,0.04581,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 9",0.75754,0.80335,0.01849,0.04581,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 10",0.75754,0.80447,0.02849,0.04693,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None}","[0.79888268, 0.79329609, 0.78212291, 0.86033520, 0.78770950]"
dt,1,"2, 3",0.75754,0.78101,0.02354,0.02346,"{'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 4}","[0.77653631, 0.75977654, 0.77094972, 0.82681564, 0.77094972]"
dt,1,"2, 4",0.75754,0.80894,0.02381,0.0514,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.81564246, 0.78770950, 0.81005587, 0.84916201, 0.78212291]"
dt,1,"2, 5",0.75754,0.78547,0.02223,0.02793,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.80446927, 0.75418994, 0.78212291, 0.81564246, 0.77094972]"
dt,1,"2, 6",0.75754,0.78436,0.02195,0.02681,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.78212291, 0.76536313, 0.77653631, 0.82681564, 0.77094972]"
dt,1,"2, 7",0.75754,0.78101,0.02354,0.02346,"{'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 4}","[0.77653631, 0.75977654, 0.77094972, 0.82681564, 0.77094972]"
dt,1,"2, 8",0.75754,0.78101,0.02354,0.02346,"{'min_samples_split': 2, 'min_samples_leaf': 5, 'max_depth': 4}","[0.77653631, 0.75977654, 0.77094972, 0.82681564, 0.77094972]"
dt,1,"2, 9",0.75754,0.80223,0.02611,0.04469,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79329609, 0.77653631, 0.81005587, 0.84916201, 0.78212291]"
dt,1,"2, 10",0.75754,0.80447,0.01967,0.04693,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.80446927, 0.78770950, 0.81005587, 0.83798883, 0.78212291]"
dt,1,"3, 4",0.75754,0.7933,0.02029,0.03576,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.76536313, 0.82681564, 0.78212291]"
dt,1,"3, 5",0.75754,0.78324,0.02965,0.0257,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}","[0.78212291, 0.75418994, 0.75977654, 0.83798883, 0.78212291]"
dt,1,"3, 6",0.75754,0.78212,0.02914,0.02458,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,"3, 7",0.75754,0.78212,0.02914,0.02458,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,"3, 8",0.75754,0.78212,0.02914,0.02458,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,"3, 9",0.75754,0.7933,0.02029,0.03576,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.76536313, 0.82681564, 0.78212291]"
dt,1,"3, 10",0.75754,0.79218,0.03128,0.03464,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79329609, 0.78212291, 0.75418994, 0.84916201, 0.78212291]"
dt,1,"4, 5",0.75754,0.80782,0.03011,0.05027,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}","[0.78770950, 0.80446927, 0.78212291, 0.86592179, 0.79888268]"
dt,1,"4, 6",0.75754,0.80112,0.01482,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
dt,1,"4, 7",0.75754,0.80112,0.01482,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
dt,1,"4, 8",0.75754,0.80112,0.0168,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.79888268, 0.83240223, 0.78212291]"
dt,1,"4, 9",0.75754,0.80112,0.01482,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
dt,1,"4, 10",0.75754,0.80559,0.02301,0.04805,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,1,"5, 6",0.75754,0.80223,0.02195,0.04469,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}","[0.78212291, 0.80446927, 0.79329609, 0.84357542, 0.78770950]"
dt,1,"5, 7",0.75754,0.80223,0.02463,0.04469,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}","[0.78212291, 0.80446927, 0.78770950, 0.84916201, 0.78770950]"
dt,1,"5, 8",0.75754,0.79106,0.01922,0.03351,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,"5, 9",0.75754,0.80559,0.02901,0.04805,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 20}","[0.77653631, 0.80446927, 0.78770950, 0.86033520, 0.79888268]"
dt,1,"5, 10",0.75754,0.81229,0.02195,0.05474,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None}","[0.79329609, 0.80446927, 0.79888268, 0.85474860, 0.81005587]"
dt,1,"6, 7",0.75754,0.79106,0.01922,0.03351,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,"6, 8",0.75754,0.79106,0.01922,0.03351,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,"6, 9",0.75754,0.80112,0.01482,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
dt,1,"6, 10",0.75754,0.80559,0.02301,0.04805,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,1,"7, 8",0.75754,0.79106,0.01922,0.03351,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,"7, 9",0.75754,0.80112,0.01482,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
dt,1,"7, 10",0.75754,0.80559,0.02301,0.04805,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,1,"8, 9",0.75754,0.80112,0.0168,0.04358,"{'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 4}","[0.79888268, 0.79329609, 0.79888268, 0.83240223, 0.78212291]"
dt,1,"8, 10",0.75754,0.8,0.01849,0.04246,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79329609, 0.79329609, 0.80446927, 0.83240223, 0.77653631]"
dt,1,"9, 10",0.75754,0.80559,0.02301,0.04805,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,1,"1, 2, 3",0.75754,0.80335,0.02813,0.04581,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.81005587, 0.77653631, 0.78212291, 0.85474860, 0.79329609]"
dt,1,"1, 2, 4",0.75754,0.81117,0.02218,0.05362,"{'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 20}","[0.82122905, 0.79329609, 0.80446927, 0.84916201, 0.78770950]"
dt,1,"1, 2, 5",0.75754,0.8,0.02381,0.04246,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.82681564, 0.76536313, 0.79329609, 0.82681564, 0.78770950]"
dt,1,"1, 2, 6",0.75754,0.79777,0.03246,0.04022,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.81005587, 0.77094972, 0.76536313, 0.85474860, 0.78770950]"
dt,1,"1, 2, 7",0.75754,0.80112,0.02412,0.04358,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.81005587, 0.77653631, 0.78212291, 0.84357542, 0.79329609]"
dt,1,"1, 2, 8",0.75754,0.80112,0.02412,0.04358,"{'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}","[0.81005587, 0.77653631, 0.78212291, 0.84357542, 0.79329609]"
dt,1,"1, 2, 9",0.75754,0.81117,0.02218,0.05362,"{'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 20}","[0.82122905, 0.79329609, 0.80446927, 0.84916201, 0.78770950]"
dt,1,"1, 2, 10",0.75754,0.80894,0.02161,0.0514,"{'min_samples_split': 10, 'min_samples_leaf': 10, 'max_depth': 3}","[0.82681564, 0.78770950, 0.81005587, 0.83798883, 0.78212291]"
dt,1,"1, 3, 4",0.75754,0.7933,0.02691,0.03576,"{'min_samples_split': 10, 'min_samples_leaf': 5, 'max_depth': 3}","[0.79888268, 0.78770950, 0.75418994, 0.83798883, 0.78770950]"
