model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
xgb,1,"1, 2",0.78547,0.81564,0.02523,0.03017,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.84357542, 0.78212291, 0.81564246, 0.84357542, 0.79329609]"
xgb,1,"1, 3",0.78547,0.8,0.02161,0.01453,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.81005587, 0.78770950, 0.78212291, 0.83798883, 0.78212291]"
xgb,1,"1, 4",0.78547,0.79665,0.02279,0.01117,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 0.8}","[0.80446927, 0.77653631, 0.78212291, 0.83798883, 0.78212291]"
xgb,1,"1, 5",0.78547,0.79665,0.0189,0.01117,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.81005587, 0.77653631, 0.78770950, 0.82681564, 0.78212291]"
xgb,1,"1, 6",0.78547,0.79888,0.0206,0.01341,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 150, 'max_depth': 7, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 0.8}","[0.79888268, 0.79329609, 0.78212291, 0.83798883, 0.78212291]"
xgb,1,"1, 7",0.78547,0.81117,0.02508,0.02569,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.80446927, 0.79329609, 0.80446927, 0.86033520, 0.79329609]"
xgb,1,"1, 8",0.78547,0.80894,0.0263,0.02346,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 2, 'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 1.0}","[0.80446927, 0.78770950, 0.79888268, 0.86033520, 0.79329609]"
xgb,1,"1, 9",0.78547,0.79888,0.0212,0.01341,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.80446927, 0.78770950, 0.78212291, 0.83798883, 0.78212291]"
xgb,1,"1, 10",0.78547,0.80335,0.01556,0.01788,"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.78770950]"
xgb,1,"2, 3",0.78547,0.78994,0.01716,0.00446,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.80446927, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
xgb,1,"2, 4",0.78547,0.8067,0.02017,0.02122,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.81005587, 0.78770950, 0.81564246, 0.83798883, 0.78212291]"
xgb,1,"2, 5",0.78547,0.78101,0.01781,-0.00446,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.4, 'gamma': 0, 'colsample_bytree': 1.0}","[0.78770950, 0.76536313, 0.75977654, 0.81005587, 0.78212291]"
xgb,1,"2, 6",0.78547,0.78994,0.01716,0.00446,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.80446927, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
xgb,1,"2, 7",0.78547,0.78547,0.01603,0.0,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.78770950, 0.77653631, 0.77653631, 0.81564246, 0.77094972]"
xgb,1,"2, 8",0.78547,0.78324,0.01745,-0.00222,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 0.8}","[0.78212291, 0.77094972, 0.78212291, 0.81564246, 0.76536313]"
xgb,1,"2, 9",0.78547,0.8067,0.02017,0.02122,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 5, 'n_estimators': 50, 'max_depth': 6, 'learning_rate': 0.4, 'gamma': 0.1, 'colsample_bytree': 1.0}","[0.81005587, 0.78770950, 0.81564246, 0.83798883, 0.78212291]"
xgb,1,"2, 10",0.78547,0.80894,0.02161,0.02346,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.2, 'gamma': 0.3, 'colsample_bytree': 1.0}","[0.82681564, 0.78770950, 0.81005587, 0.83798883, 0.78212291]"
