model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
lgbm,1,"1, 2",0.78994,0.80447,0.02473,0.01453,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.82122905, 0.76536313, 0.79329609, 0.83798883, 0.80446927]"
lgbm,1,"1, 3",0.78994,0.79777,0.00961,0.00783,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 2.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 10, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.78770950, 0.79329609, 0.79888268, 0.81564246, 0.79329609]"
lgbm,1,"1, 4",0.78994,0.80559,0.01431,0.01565,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8}","[0.80446927, 0.79329609, 0.80446927, 0.83240223, 0.79329609]"
lgbm,1,"1, 5",0.78994,0.80447,0.0187,0.01453,"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 2.0, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.80446927, 0.78212291, 0.80446927, 0.83798883, 0.79329609]"
lgbm,1,"1, 6",0.78994,0.80782,0.01642,0.01788,"{'subsample': 0.8, 'reg_lambda': 0.0, 'reg_alpha': 2.0, 'n_estimators': 150, 'min_child_samples': 10, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.80446927, 0.79329609, 0.81005587, 0.83798883, 0.79329609]"
lgbm,1,"1, 7",0.78994,0.80112,0.0115,0.01118,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 2.0, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 0.8}","[0.79329609, 0.78770950, 0.79888268, 0.82122905, 0.80446927]"
lgbm,1,"1, 8",0.78994,0.81006,0.02548,0.02012,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.80446927, 0.79329609, 0.79888268, 0.86033520, 0.79329609]"
lgbm,1,"1, 9",0.78994,0.79665,0.02728,0.0067,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 30, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}","[0.78770950, 0.77094972, 0.78212291, 0.84916201, 0.79329609]"
lgbm,1,"1, 10",0.78994,0.80223,0.01822,0.01229,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.80446927, 0.79329609, 0.80446927, 0.83240223, 0.77653631]"
lgbm,1,"2, 3",0.78994,0.78324,0.01634,-0.00669,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 30, 'max_depth': 7, 'learning_rate': 0.05, 'colsample_bytree': 0.8}","[0.77653631, 0.77094972, 0.77653631, 0.81564246, 0.77653631]"
lgbm,1,"2, 4",0.78994,0.81006,0.01967,0.02012,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 2.0, 'n_estimators': 200, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.81005587, 0.79329609, 0.81564246, 0.84357542, 0.78770950]"
lgbm,1,"2, 5",0.78994,0.77765,0.02879,-0.01229,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.78770950, 0.74301676, 0.74860335, 0.82122905, 0.78770950]"
lgbm,1,"2, 6",0.78994,0.78994,0.01716,0.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.8}","[0.80446927, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
lgbm,1,"2, 7",0.78994,0.78994,0.01716,0.0,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.8}","[0.80446927, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
lgbm,1,"2, 8",0.78994,0.78994,0.01716,0.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 5.0, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 0.8}","[0.80446927, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
lgbm,1,"2, 9",0.78994,0.81006,0.01802,0.02012,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 2.0, 'n_estimators': 100, 'min_child_samples': 30, 'max_depth': 3, 'learning_rate': 0.1, 'colsample_bytree': 0.8}","[0.81564246, 0.79329609, 0.81564246, 0.83798883, 0.78770950]"
lgbm,1,"2, 10",0.78994,0.80894,0.02161,0.019,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.82681564, 0.78770950, 0.81005587, 0.83798883, 0.78212291]"
lgbm,1,"3, 4",0.78994,0.79777,0.00961,0.00783,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 2.0, 'n_estimators': 150, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.80446927, 0.81005587, 0.78212291]"
lgbm,1,"3, 5",0.78994,0.78101,0.02879,-0.00892,"{'subsample': 1.0, 'reg_lambda': 0.0, 'reg_alpha': 0.0, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 20, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.76536313, 0.77094972, 0.75977654, 0.83798883, 0.77094972]"
lgbm,1,"3, 6",0.78994,0.79106,0.01922,0.00112,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,"3, 7",0.78994,0.79106,0.01922,0.00112,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,"3, 8",0.78994,0.79106,0.01922,0.00112,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,1,"3, 9",0.78994,0.79777,0.00961,0.00783,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 2.0, 'n_estimators': 150, 'min_child_samples': 20, 'max_depth': 5, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.80446927, 0.81005587, 0.78212291]"
lgbm,1,"3, 10",0.78994,0.80112,0.01822,0.01118,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 5.0, 'n_estimators': 200, 'min_child_samples': 20, 'max_depth': 7, 'learning_rate': 0.2, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.77653631]"
lgbm,1,"4, 5",0.78994,0.7933,0.00865,0.00336,"{'subsample': 0.8, 'reg_lambda': 1.0, 'reg_alpha': 2.0, 'n_estimators': 200, 'min_child_samples': 30, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79888268, 0.77653631, 0.79329609, 0.79888268, 0.79888268]"
lgbm,1,"4, 6",0.78994,0.79218,0.01193,0.00224,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.77653631, 0.81005587, 0.78212291]"
lgbm,1,"4, 7",0.78994,0.79218,0.01193,0.00224,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0}","[0.79888268, 0.79329609, 0.77653631, 0.81005587, 0.78212291]"
lgbm,1,"4, 8",0.78994,0.79665,0.00974,0.0067,"{'subsample': 0.8, 'reg_lambda': 5.0, 'reg_alpha': 2.0, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 20, 'learning_rate': 0.2, 'colsample_bytree': 0.8}","[0.79329609, 0.79329609, 0.80446927, 0.81005587, 0.78212291]"
