model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
cb,1,"1, 2",0.81006,0.80112,0.01752,-0.00893,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.02, 'l2_leaf_reg': 10, 'iterations': 1000, 'depth': 3, 'border_count': 64, 'bagging_temperature': 0.5}","[0.80446927, 0.78212291, 0.79888268, 0.83240223, 0.78770950]"
cb,1,"1, 3",0.81006,0.8,0.03068,-0.01005,"{'subsample': 0.8, 'random_strength': 2.0, 'learning_rate': 0.04, 'l2_leaf_reg': 5, 'iterations': 600, 'depth': 3, 'border_count': 128, 'bagging_temperature': 0.5}","[0.79329609, 0.77653631, 0.78770950, 0.86033520, 0.78212291]"
cb,1,"1, 4",0.81006,0.80335,0.01556,-0.0067,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.02, 'l2_leaf_reg': 10, 'iterations': 1000, 'depth': 3, 'border_count': 64, 'bagging_temperature': 0.5}","[0.78770950, 0.79329609, 0.80446927, 0.83240223, 0.79888268]"
cb,1,"1, 5",0.81006,0.8067,0.02167,-0.00336,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.79888268, 0.79888268, 0.79888268, 0.84916201, 0.78770950]"
cb,1,"1, 6",0.81006,0.8067,0.02969,-0.00336,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 10, 'iterations': 1200, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.5}","[0.79329609, 0.79329609, 0.78770950, 0.86592179, 0.79329609]"
cb,1,"1, 7",0.81006,0.80894,0.02606,-0.00112,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.04, 'l2_leaf_reg': 10, 'iterations': 600, 'depth': 6, 'border_count': 32, 'bagging_temperature': 0.5}","[0.79329609, 0.79329609, 0.80446927, 0.86033520, 0.79329609]"
cb,1,"1, 8",0.81006,0.8067,0.02705,-0.00336,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.04, 'l2_leaf_reg': 10, 'iterations': 600, 'depth': 6, 'border_count': 32, 'bagging_temperature': 0.5}","[0.79329609, 0.78770950, 0.79888268, 0.86033520, 0.79329609]"
cb,1,"1, 9",0.81006,0.80447,0.02523,-0.00558,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 10, 'iterations': 1200, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.5}","[0.78770950, 0.79329609, 0.79329609, 0.85474860, 0.79329609]"
cb,1,"1, 10",0.81006,0.80559,0.02746,-0.00446,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 10, 'iterations': 1200, 'depth': 6, 'border_count': 128, 'bagging_temperature': 0.5}","[0.79329609, 0.79329609, 0.78770950, 0.86033520, 0.79329609]"
cb,1,"2, 3",0.81006,0.76648,0.01745,-0.04357,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.76536313, 0.75418994, 0.76536313, 0.79888268, 0.74860335]"
cb,1,"2, 4",0.81006,0.79777,0.02273,-0.01229,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.80446927, 0.77653631, 0.79329609, 0.83798883, 0.77653631]"
cb,1,"2, 5",0.81006,0.77095,0.02029,-0.0391,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.03, 'l2_leaf_reg': 3, 'iterations': 1000, 'depth': 5, 'border_count': 64, 'bagging_temperature': 0.5}","[0.78212291, 0.75418994, 0.74860335, 0.80446927, 0.76536313]"
cb,1,"2, 6",0.81006,0.7676,0.0236,-0.04246,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.02, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 10, 'border_count': 32, 'bagging_temperature': 2.0}","[0.76536313, 0.77094972, 0.74860335, 0.81005587, 0.74301676]"
cb,1,"2, 7",0.81006,0.7676,0.01955,-0.04246,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.76536313, 0.75418994, 0.76536313, 0.80446927, 0.74860335]"
cb,1,"2, 8",0.81006,0.76648,0.01883,-0.04357,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.02, 'l2_leaf_reg': 10, 'iterations': 1000, 'depth': 3, 'border_count': 64, 'bagging_temperature': 0.5}","[0.76536313, 0.75418994, 0.77094972, 0.79888268, 0.74301676]"
cb,1,"2, 9",0.81006,0.79553,0.02195,-0.01453,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.02, 'l2_leaf_reg': 10, 'iterations': 1000, 'depth': 3, 'border_count': 64, 'bagging_temperature': 0.5}","[0.80446927, 0.76536313, 0.80446927, 0.82681564, 0.77653631]"
cb,1,"2, 10",0.81006,0.79106,0.02048,-0.019,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.02, 'l2_leaf_reg': 10, 'iterations': 1000, 'depth': 3, 'border_count': 64, 'bagging_temperature': 0.5}","[0.79888268, 0.77094972, 0.79888268, 0.82122905, 0.76536313]"
cb,1,"3, 4",0.81006,0.7933,0.0306,-0.01675,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.79888268, 0.78212291, 0.75977654, 0.84916201, 0.77653631]"
cb,1,"3, 5",0.81006,0.79553,0.02682,-0.01453,"{'subsample': 1.0, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 1200, 'depth': 5, 'border_count': 64, 'bagging_temperature': 2.0}","[0.79888268, 0.77653631, 0.76536313, 0.84357542, 0.79329609]"
cb,1,"3, 6",0.81006,0.78212,0.02572,-0.02793,"{'subsample': 0.8, 'random_strength': 1.0, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 3, 'border_count': 64, 'bagging_temperature': 1.0}","[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
cb,1,"3, 7",0.81006,0.78212,0.02572,-0.02793,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.02, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 10, 'border_count': 32, 'bagging_temperature': 2.0}","[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
cb,1,"3, 8",0.81006,0.78771,0.02422,-0.02234,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.02, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 10, 'border_count': 32, 'bagging_temperature': 2.0}","[0.79329609, 0.77653631, 0.76536313, 0.83240223, 0.77094972]"
cb,1,"3, 9",0.81006,0.78659,0.02508,-0.02346,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.02, 'l2_leaf_reg': 10, 'iterations': 800, 'depth': 5, 'border_count': 128, 'bagging_temperature': 1.0}","[0.79329609, 0.78212291, 0.74860335, 0.82681564, 0.78212291]"
cb,1,"3, 10",0.81006,0.80223,0.02412,-0.00783,"{'subsample': 1.0, 'random_strength': 2.0, 'learning_rate': 0.02, 'l2_leaf_reg': 5, 'iterations': 400, 'depth': 10, 'border_count': 32, 'bagging_temperature': 2.0}","[0.79888268, 0.79329609, 0.78770950, 0.84916201, 0.78212291]"
