model,features,accuracy_vs_kaggle,improvement,tuned,params
xgb,title,0.78708,0.00239,False,
xgb,family_size,0.77751,-0.00717,False,
xgb,is_alone,0.77751,-0.00717,False,
xgb,age_group,0.78468,0.0,False,
xgb,fare_per_person,0.77272,-0.01196,False,
xgb,deck,0.77033,-0.01435,False,
xgb,has_cabin,0.77511,-0.00957,False,
xgb,is_mother,0.77751,-0.00717,False,
xgb,sex_pclass,0.77751,-0.00717,False,
xgb,is_child,0.78468,0.0,False,
xgb,women_children_first,0.78468,0.0,False,
xgb,baseline,0.78468,0.0,False,
