model,features,accuracy_vs_kaggle,improvement,tuned,params
lgbm,title,0.78708,0.01914,False,
lgbm,family_size,0.77751,0.00957,False,
lgbm,is_alone,0.77751,0.00957,False,
lgbm,age_group,0.78468,0.01674,False,
lgbm,fare_per_person,0.76076,-0.00717,False,
lgbm,deck,0.77033,0.00239,False,
lgbm,has_cabin,0.77751,0.00957,False,
lgbm,is_mother,0.77751,0.00957,False,
lgbm,sex_pclass,0.77751,0.00957,False,
lgbm,is_child,0.78468,0.01674,False,
lgbm,women_children_first,0.78468,0.01674,False,
lgbm,baseline,0.76794,0.0,False,
