model,features,accuracy_vs_kaggle,improvement,tuned,params
cb,title,0.78708,0.0,False,
cb,family_size,0.77751,-0.00956,False,
cb,is_alone,0.77751,-0.00956,False,
cb,age_group,0.78468,-0.00239,False,
cb,fare_per_person,0.77511,-0.01197,False,
cb,deck,0.77511,-0.01197,False,
cb,has_cabin,0.7799,-0.00717,False,
cb,is_mother,0.77751,-0.00956,False,
cb,sex_pclass,0.77751,-0.00956,False,
cb,is_child,0.78468,-0.00239,False,
cb,women_children_first,0.78468,-0.00239,False,
cb,baseline,0.78708,0.0,False,
