model,features,accuracy_vs_kaggle,improvement,tuned,params
rf,title,0.78708,0.00956,True,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
rf,family_size,0.77751,0.0,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
rf,is_alone,0.77751,0.0,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
rf,age_group,0.78468,0.00717,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
rf,fare_per_person,0.77272,-0.00479,True,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}"
rf,deck,0.77272,-0.00479,True,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
rf,has_cabin,0.76315,-0.01436,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
rf,is_mother,0.77751,0.0,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
rf,sex_pclass,0.77751,0.0,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
rf,is_child,0.78468,0.00717,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
rf,women_children_first,0.78468,0.00717,True,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
rf,baseline,0.77751,0.0,True,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}"
