model,features,accuracy_vs_kaggle,improvement,tuned,params
lgbm,title,0.78708,0.01914,True,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,family_size,0.77751,0.00957,True,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,is_alone,0.77751,0.00957,True,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,age_group,0.78468,0.01674,True,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'num_leaves': 15}"
lgbm,fare_per_person,0.76794,0.0,True,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31}"
lgbm,deck,0.77751,0.00957,True,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,has_cabin,0.77751,0.00957,True,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,is_mother,0.77751,0.00957,True,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,sex_pclass,0.77751,0.00957,True,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,is_child,0.78468,0.01674,True,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,women_children_first,0.78468,0.01674,True,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'num_leaves': 15}"
lgbm,baseline,0.77272,0.00478,True,"{'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 15}"
