model,features,accuracy_vs_kaggle,improvement
xgb,"title, family_size",0.77751,-0.00717
xgb,"title, is_alone",0.78708,0.00239
xgb,"title, age_group",0.78708,0.00239
xgb,"title, fare_per_person",0.78708,0.00239
xgb,"title, deck",0.78229,-0.00239
xgb,"title, has_cabin",0.78947,0.00478
xgb,"title, is_mother",0.77751,-0.00717
xgb,"title, sex_pclass",0.78708,0.00239
xgb,"title, is_child",0.78708,0.00239
xgb,"title, women_children_first",0.78708,0.00239
xgb,"family_size, is_alone",0.77751,-0.00717
xgb,"family_size, age_group",0.78229,-0.00239
xgb,"family_size, fare_per_person",0.76315,-0.02153
xgb,"family_size, deck",0.77751,-0.00717
xgb,"family_size, has_cabin",0.77751,-0.00717
xgb,"family_size, is_mother",0.77751,-0.00717
xgb,"family_size, sex_pclass",0.77751,-0.00717
xgb,"family_size, is_child",0.78229,-0.00239
xgb,"family_size, women_children_first",0.78229,-0.00239
xgb,"is_alone, age_group",0.78468,0.0
xgb,"is_alone, fare_per_person",0.77033,-0.01435
xgb,"is_alone, deck",0.77751,-0.00717
xgb,"is_alone, has_cabin",0.77751,-0.00717
xgb,"is_alone, is_mother",0.77511,-0.00957
xgb,"is_alone, sex_pclass",0.77751,-0.00717
xgb,"is_alone, is_child",0.78468,0.0
xgb,"is_alone, women_children_first",0.78468,0.0
xgb,"age_group, fare_per_person",0.75598,-0.0287
xgb,"age_group, deck",0.77751,-0.00717
xgb,"age_group, has_cabin",0.78468,0.0
xgb,"age_group, is_mother",0.78468,0.0
xgb,"age_group, sex_pclass",0.78468,0.0
xgb,"age_group, is_child",0.78468,0.0
xgb,"age_group, women_children_first",0.78468,0.0
xgb,"fare_per_person, deck",0.75358,-0.0311
xgb,"fare_per_person, has_cabin",0.76076,-0.02392
xgb,"fare_per_person, is_mother",0.75837,-0.02631
xgb,"fare_per_person, sex_pclass",0.77272,-0.01196
xgb,"fare_per_person, is_child",0.76555,-0.01913
xgb,"fare_per_person, women_children_first",0.76315,-0.02153
xgb,"deck, has_cabin",0.77751,-0.00717
xgb,"deck, is_mother",0.77751,-0.00717
xgb,"deck, sex_pclass",0.77751,-0.00717
xgb,"deck, is_child",0.78468,0.0
xgb,"deck, women_children_first",0.78468,0.0
xgb,"has_cabin, is_mother",0.77751,-0.00717
xgb,"has_cabin, sex_pclass",0.77751,-0.00717
xgb,"has_cabin, is_child",0.78468,0.0
xgb,"has_cabin, women_children_first",0.78468,0.0
xgb,"is_mother, sex_pclass",0.77751,-0.00717
xgb,"is_mother, is_child",0.78468,0.0
xgb,"is_mother, women_children_first",0.78468,0.0
xgb,"sex_pclass, is_child",0.78468,0.0
xgb,"sex_pclass, women_children_first",0.78468,0.0
xgb,"is_child, women_children_first",0.78468,0.0
xgb,"title, family_size, is_alone",0.77511,-0.00957
xgb,"title, family_size, age_group",0.77751,-0.00717
xgb,"title, family_size, fare_per_person",0.77511,-0.00957
xgb,"title, family_size, deck",0.7799,-0.00478
xgb,"title, family_size, has_cabin",0.77751,-0.00717
xgb,"title, family_size, is_mother",0.77751,-0.00717
xgb,"title, family_size, sex_pclass",0.77751,-0.00717
xgb,"title, family_size, is_child",0.77751,-0.00717
xgb,"title, family_size, women_children_first",0.78708,0.00239
xgb,"title, is_alone, age_group",0.78708,0.00239
xgb,"title, is_alone, fare_per_person",0.78708,0.00239
xgb,"title, is_alone, deck",0.78468,0.0
xgb,"title, is_alone, has_cabin",0.78468,0.0
xgb,"title, is_alone, is_mother",0.78708,0.00239
xgb,"title, is_alone, sex_pclass",0.78708,0.00239
xgb,"title, is_alone, is_child",0.78708,0.00239
xgb,"title, is_alone, women_children_first",0.78468,0.0
xgb,"title, age_group, fare_per_person",0.77511,-0.00957
xgb,"title, age_group, deck",0.78229,-0.00239
xgb,"title, age_group, has_cabin",0.78947,0.00478
xgb,"title, age_group, is_mother",0.78708,0.00239
xgb,"title, age_group, sex_pclass",0.78708,0.00239
xgb,"title, age_group, is_child",0.78708,0.00239
xgb,"title, age_group, women_children_first",0.78468,0.0
xgb,"title, fare_per_person, deck",0.78468,0.0
xgb,"title, fare_per_person, has_cabin",0.78468,0.0
xgb,"title, fare_per_person, is_mother",0.78708,0.00239
xgb,"title, fare_per_person, sex_pclass",0.78708,0.00239
xgb,"title, fare_per_person, is_child",0.78708,0.00239
xgb,"title, fare_per_person, women_children_first",0.76315,-0.02153
xgb,"title, deck, has_cabin",0.78468,0.0
xgb,"title, deck, is_mother",0.77511,-0.00957
xgb,"title, deck, sex_pclass",0.78468,0.0
xgb,"title, deck, is_child",0.78229,-0.00239
xgb,"title, deck, women_children_first",0.78468,0.0
xgb,"title, has_cabin, is_mother",0.7799,-0.00478
xgb,"title, has_cabin, sex_pclass",0.78708,0.00239
xgb,"title, has_cabin, is_child",0.78708,0.00239
xgb,"title, has_cabin, women_children_first",0.78947,0.00478
xgb,"title, is_mother, sex_pclass",0.77751,-0.00717
xgb,"title, is_mother, is_child",0.78708,0.00239
xgb,"title, is_mother, women_children_first",0.77751,-0.00717
