model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
lgbm,0,1,0.78994,0.8,0.00894,0.01006,,"[0.79329609, 0.79329609, 0.80446927, 0.81564246, 0.79329609]"
lgbm,0,2,0.78994,0.76983,0.0263,-0.0201,,"[0.76536313, 0.77653631, 0.75418994, 0.81564246, 0.73743017]"
lgbm,0,3,0.78994,0.78212,0.02572,-0.00781,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
lgbm,0,4,0.78994,0.7933,0.01836,0.00336,,"[0.79888268, 0.78212291, 0.77653631, 0.82681564, 0.78212291]"
lgbm,0,5,0.78994,0.7933,0.0212,0.00336,,"[0.77653631, 0.77653631, 0.78212291, 0.83240223, 0.79888268]"
lgbm,0,6,0.78994,0.79106,0.01922,0.00112,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,0,7,0.78994,0.79106,0.01922,0.00112,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,0,8,0.78994,0.79106,0.01922,0.00112,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,0,9,0.78994,0.79218,0.01193,0.00224,,"[0.79888268, 0.79329609, 0.77653631, 0.81005587, 0.78212291]"
lgbm,0,10,0.78994,0.80223,0.0168,0.01229,,"[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.78212291]"
