model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
dt,1,1,0.75754,0.80335,0.01849,0.04581,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,2,0.75754,0.78659,0.02072,0.02905,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.80446927, 0.75977654, 0.78212291, 0.81564246, 0.77094972]"
dt,1,3,0.75754,0.78212,0.02914,0.02458,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,4,0.75754,0.79218,0.01024,0.03464,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.79329609, 0.78212291, 0.81005587, 0.78212291]"
dt,1,5,0.75754,0.79106,0.01922,0.03351,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,6,0.75754,0.79106,0.01922,0.03351,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,7,0.75754,0.79106,0.01922,0.03351,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_leaf_nodes': 100, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,8,0.75754,0.79106,0.01922,0.03351,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,9,0.75754,0.79218,0.01024,0.03464,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.79329609, 0.78212291, 0.81005587, 0.78212291]"
dt,1,10,0.75754,0.8067,0.02279,0.04915,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}","[0.80446927, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
