model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
xgb,1,1,0.78547,0.80782,0.01642,0.02234,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}","[0.81005587, 0.79329609, 0.80446927, 0.83798883, 0.79329609]"
xgb,1,2,0.78547,0.78659,0.01556,0.00112,"{'tree_method': 'auto', 'subsample': 1.0, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 1.0, 'booster': 'gbtree'}","[0.78770950, 0.77653631, 0.78212291, 0.81564246, 0.77094972]"
xgb,1,3,0.78547,0.79106,0.01922,0.00558,"{'tree_method': 'auto', 'subsample': 1.0, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 1.0, 'booster': 'gbtree'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,4,0.78547,0.79888,0.00999,0.01341,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}","[0.80446927, 0.79329609, 0.80446927, 0.81005587, 0.78212291]"
xgb,1,5,0.78547,0.79218,0.01948,0.0067,"{'tree_method': 'auto', 'subsample': 0.6, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.77653631, 0.79329609, 0.77094972, 0.82681564, 0.79329609]"
xgb,1,6,0.78547,0.79106,0.01922,0.00558,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,7,0.78547,0.79106,0.01922,0.00558,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,8,0.78547,0.79106,0.01922,0.00558,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,1,9,0.78547,0.80223,0.01482,0.01675,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}","[0.80446927, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
xgb,1,10,0.78547,0.8,0.01849,0.01453,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79329609, 0.79329609, 0.80446927, 0.83240223, 0.77653631]"
