model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
dt,1,"1, 2",0.75754,0.8,0.02746,0.04246,"{'splitter': 'best', 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'log_loss', 'class_weight': None}","[0.78770950, 0.78770950, 0.78770950, 0.85474860, 0.78212291]"
dt,1,"1, 3",0.75754,0.7933,0.02691,0.03576,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.75418994, 0.83798883, 0.78770950]"
dt,1,"1, 4",0.75754,0.80335,0.01849,0.04581,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 5",0.75754,0.80335,0.01849,0.04581,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 6",0.75754,0.80335,0.01849,0.04581,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 7",0.75754,0.80335,0.01849,0.04581,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 8",0.75754,0.80335,0.01849,0.04581,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 9",0.75754,0.80335,0.01849,0.04581,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,"1, 10",0.75754,0.8,0.01849,0.04246,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.79329609, 0.80446927, 0.83240223, 0.77653631]"
dt,1,"2, 3",0.75754,0.78212,0.02914,0.02458,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,"2, 4",0.75754,0.76872,0.0189,0.01117,"{'splitter': 'random', 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None}","[0.78212291, 0.74860335, 0.75977654, 0.79888268, 0.75418994]"
dt,1,"2, 5",0.75754,0.78436,0.02463,0.02681,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.75418994, 0.77653631, 0.82681564, 0.77094972]"
dt,1,"2, 6",0.75754,0.78883,0.02072,0.03129,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.77094972, 0.82681564, 0.77094972]"
dt,1,"2, 7",0.75754,0.78659,0.02072,0.02905,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.80446927, 0.75977654, 0.78212291, 0.81564246, 0.77094972]"
dt,1,"2, 8",0.75754,0.79106,0.01922,0.03351,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,1,"2, 9",0.75754,0.79218,0.01024,0.03464,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.79329609, 0.78212291, 0.81005587, 0.78212291]"
dt,1,"2, 10",0.75754,0.80782,0.02167,0.05027,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_leaf_nodes': 10, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None}","[0.82681564, 0.78770950, 0.80446927, 0.83798883, 0.78212291]"
dt,1,"3, 4",0.75754,0.78324,0.02458,0.0257,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.79329609, 0.73743017, 0.81005587, 0.78212291]"
dt,1,"3, 5",0.75754,0.78212,0.02914,0.02458,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
dt,1,"3, 6",0.75754,0.78212,0.02914,0.02458,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79329609, 0.78212291, 0.73743017, 0.82681564, 0.77094972]"
