model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
rf,1,"1, 2",0.79106,0.8067,0.02167,0.01563,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}","[0.81005587, 0.78770950, 0.81005587, 0.84357542, 0.78212291]"
rf,1,"1, 3",0.79106,0.80223,0.01788,0.01117,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.79329609, 0.79329609, 0.83798883, 0.79329609]"
rf,1,"1, 4",0.79106,0.80335,0.01671,0.01229,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.80446927, 0.79329609, 0.80446927, 0.83240223, 0.78212291]"
rf,1,"1, 5",0.79106,0.80447,0.02892,0.01341,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}","[0.78212291, 0.78770950, 0.78770950, 0.86033520, 0.80446927]"
rf,1,"1, 6",0.79106,0.80335,0.01815,0.01229,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}","[0.78770950, 0.79329609, 0.80446927, 0.83798883, 0.79329609]"
rf,1,"1, 7",0.79106,0.80335,0.01815,0.01229,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}","[0.78770950, 0.79329609, 0.80446927, 0.83798883, 0.79329609]"
rf,1,"1, 8",0.79106,0.80782,0.02682,0.01675,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.79329609, 0.78770950, 0.80446927, 0.86033520, 0.79329609]"
rf,1,"1, 9",0.79106,0.79888,0.01999,0.00782,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}","[0.78770950, 0.79329609, 0.78212291, 0.83798883, 0.79329609]"
rf,1,"1, 10",0.79106,0.8067,0.02751,0.01563,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}","[0.80446927, 0.79329609, 0.78770950, 0.86033520, 0.78770950]"
rf,1,"2, 3",0.79106,0.77207,0.02879,-0.01898,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}","[0.77653631, 0.76536313, 0.73184358, 0.82122905, 0.76536313]"
