model,tuned,feature_num,baseline,accuracy,std,improvement,params,cv_scores
lgbm,1,"1, 2",0.78994,0.8067,0.02796,0.01675,"{'subsample': 0.6, 'reg_lambda': 0, 'reg_alpha': 5, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 5, 'learning_rate': 0.2, 'colsample_bytree': 1.0, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.82122905, 0.76536313, 0.79329609, 0.84916201, 0.80446927]"
lgbm,1,"1, 3",0.78994,0.80559,0.01671,0.01565,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.79888268, 0.79329609, 0.80446927, 0.83798883, 0.79329609]"
lgbm,1,"1, 4",0.78994,0.80447,0.01836,0.01453,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.79329609, 0.79329609, 0.81005587, 0.83798883, 0.78770950]"
lgbm,1,"1, 5",0.78994,0.80112,0.0144,0.01118,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.79888268, 0.78770950, 0.80446927, 0.82681564, 0.78770950]"
lgbm,1,"1, 6",0.78994,0.80894,0.01634,0.019,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 10, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.81005587, 0.79329609, 0.81005587, 0.83798883, 0.79329609]"
lgbm,1,"1, 7",0.78994,0.80223,0.01036,0.01229,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 1, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'dart'}","[0.79329609, 0.79329609, 0.79888268, 0.82122905, 0.80446927]"
lgbm,1,"1, 8",0.78994,0.81117,0.02533,0.02122,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.81005587, 0.79329609, 0.79888268, 0.86033520, 0.79329609]"
lgbm,1,"1, 9",0.78994,0.80447,0.02523,0.01453,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 5, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'dart'}","[0.78770950, 0.79329609, 0.79329609, 0.85474860, 0.79329609]"
lgbm,1,"1, 10",0.78994,0.80447,0.0154,0.01453,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 5, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 20, 'max_depth': -1, 'learning_rate': 0.1, 'colsample_bytree': 0.6, 'class_weight': None, 'boosting_type': 'dart'}","[0.80446927, 0.79329609, 0.80446927, 0.83240223, 0.78770950]"
lgbm,1,"2, 3",0.78994,0.78883,0.02042,-0.0011,"{'subsample': 0.6, 'reg_lambda': 1, 'reg_alpha': 1, 'num_leaves': 127, 'n_estimators': 50, 'min_child_samples': 30, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 1.0, 'class_weight': None, 'boosting_type': 'dart'}","[0.79329609, 0.77653631, 0.77653631, 0.82681564, 0.77094972]"
