model,tuned,feature_num,baseline,kaggle_score,improvement,tuning_params
dt,0,baseline,0.73205,0.73205,0.0,
xgb,0,baseline,0.75119,0.75119,0.0,
rf,0,baseline,0.76555,0.76555,0.0,
lgbm,0,baseline,0.76555,0.76555,0.0,
cb,0,baseline,0.77751,0.77751,0.0,
dt,0,1,0.73205,0.78708,0.05503,
dt,0,2,0.73205,0.76555,0.03349,
dt,0,3,0.73205,0.77751,0.04546,
dt,0,4,0.73205,0.78468,0.05263,
dt,0,5,0.73205,0.75837,0.02632,
dt,0,6,0.73205,0.77751,0.04546,
dt,0,7,0.73205,0.77751,0.04546,
dt,0,8,0.73205,0.77751,0.04546,
dt,0,9,0.73205,0.78468,0.05263,
dt,0,10,0.73205,0.78468,0.05263,
xgb,0,1,0.75119,0.78708,0.03588,
xgb,0,2,0.75119,0.76555,0.01435,
xgb,0,3,0.75119,0.77751,0.02632,
xgb,0,4,0.75119,0.78468,0.03349,
xgb,0,5,0.75119,0.76315,0.01195,
xgb,0,6,0.75119,0.77751,0.02632,
xgb,0,7,0.75119,0.77751,0.02632,
xgb,0,8,0.75119,0.77751,0.02632,
xgb,0,9,0.75119,0.78468,0.03349,
xgb,0,10,0.75119,0.78468,0.03349,
rf,0,1,0.76555,0.78708,0.02153,
rf,0,2,0.76555,0.75358,-0.01196,
rf,0,3,0.76555,0.76555,0.0,
rf,0,4,0.76555,0.78468,0.01913,
rf,0,5,0.76555,0.77033,0.00478,
rf,0,6,0.76555,0.77751,0.01196,
rf,0,7,0.76555,0.77751,0.01196,
rf,0,8,0.76555,0.77751,0.01196,
rf,0,9,0.76555,0.78468,0.01913,
rf,0,10,0.76555,0.78468,0.01913,
lgbm,0,1,0.76555,0.78708,0.02153,
lgbm,0,2,0.76555,0.76555,0.0,
lgbm,0,3,0.76555,0.77751,0.01196,
lgbm,0,4,0.76555,0.78468,0.01913,
lgbm,0,5,0.76555,0.77511,0.00956,
lgbm,0,6,0.76555,0.77751,0.01196,
lgbm,0,7,0.76555,0.77751,0.01196,
lgbm,0,8,0.76555,0.77751,0.01196,
lgbm,0,9,0.76555,0.78468,0.01913,
lgbm,0,10,0.76555,0.78468,0.01913,
cb,0,1,0.77751,0.78708,0.00956,
cb,0,2,0.77751,0.76794,-0.00957,
cb,0,3,0.77751,0.77751,0.0,
cb,0,4,0.77751,0.78468,0.00717,
cb,0,5,0.77751,0.76076,-0.01675,
cb,0,6,0.77751,0.77751,0.0,
cb,0,7,0.77751,0.77751,0.0,
cb,0,8,0.77751,0.77751,0.0,
cb,0,9,0.77751,0.78468,0.00717,
cb,0,10,0.77751,0.78468,0.00717,
dt,1,baseline,0.73205,0.75119,0.01914,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced'}"
xgb,1,baseline,0.75119,0.77033,0.01913,"{'tree_method': 'auto', 'subsample': 0.6, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0, 'booster': 'dart'}"
rf,1,baseline,0.76555,0.77272,0.00717,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}"
lgbm,1,baseline,0.76555,0.76076,-0.00478,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8, 'class_weight': None, 'boosting_type': 'gbdt'}"
cb,1,baseline,0.77751,0.76794,-0.00957,"{'scale_pos_weight': 2, 'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'Lossguide', 'depth': 4, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}"
dt,1,1,0.73205,0.78229,0.05024,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,2,0.73205,0.77751,0.04546,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,3,0.73205,0.77751,0.04546,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,4,0.73205,0.77272,0.04066,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,5,0.73205,0.77751,0.04546,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,6,0.73205,0.77751,0.04546,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}"
dt,1,7,0.73205,0.77751,0.04546,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_leaf_nodes': 100, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,8,0.73205,0.77751,0.04546,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,9,0.73205,0.77272,0.04066,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}"
dt,1,10,0.73205,0.78468,0.05263,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy', 'class_weight': None}"
xgb,1,1,0.75119,0.78708,0.03588,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}"
xgb,1,2,0.75119,0.77751,0.02632,"{'tree_method': 'auto', 'subsample': 1.0, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 1.0, 'booster': 'gbtree'}"
xgb,1,3,0.75119,0.77751,0.02632,"{'tree_method': 'auto', 'subsample': 1.0, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 5, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.3, 'gamma': 0.3, 'colsample_bytree': 1.0, 'booster': 'gbtree'}"
xgb,1,4,0.75119,0.78468,0.03349,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}"
xgb,1,5,0.75119,0.76076,0.00956,"{'tree_method': 'auto', 'subsample': 0.6, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0, 'booster': 'dart'}"
xgb,1,6,0.75119,0.77751,0.02632,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}"
xgb,1,7,0.75119,0.77751,0.02632,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}"
xgb,1,8,0.75119,0.77751,0.02632,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}"
xgb,1,9,0.75119,0.78468,0.03349,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.3, 'gamma': 0.1, 'colsample_bytree': 0.8, 'booster': 'gbtree'}"
xgb,1,10,0.75119,0.78468,0.03349,"{'tree_method': 'auto', 'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 5, 'reg_alpha': 5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 1.0, 'colsample_bytree': 1.0, 'booster': 'dart'}"
rf,1,1,0.76555,0.78708,0.02153,"{'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': None, 'max_depth': 5, 'criterion': 'entropy', 'class_weight': None, 'bootstrap': True}"
rf,1,2,0.76555,0.76794,0.00239,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': 'sqrt', 'max_depth': 5, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': True}"
rf,1,3,0.76555,0.77751,0.01196,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': None, 'max_depth': 10, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}"
rf,1,4,0.76555,0.78468,0.01913,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_leaf_nodes': 20, 'max_features': 'log2', 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': False}"
rf,1,5,0.76555,0.73923,-0.02631,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': 'balanced', 'bootstrap': True}"
rf,1,6,0.76555,0.77751,0.01196,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_leaf_nodes': 20, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'log_loss', 'class_weight': None, 'bootstrap': False}"
