model,tuned,feature_num,baseline,accuracy,improvement,cv_std,tuning_params,cv_scores
dt,0,baseline,0.75754,0.75754,0.0,0.04204,,"[0.82122905, 0.73184358, 0.69832402, 0.75418994, 0.78212291]"
xgb,0,baseline,0.78547,0.78547,0.0,0.01822,,"[0.80446927, 0.77653631, 0.75418994, 0.79888268, 0.79329609]"
rf,0,baseline,0.79106,0.79106,0.0,0.034,,"[0.80446927, 0.75977654, 0.74860335, 0.84357542, 0.79888268]"
lgbm,0,baseline,0.78994,0.78994,0.0,0.01603,,"[0.78212291, 0.78770950, 0.77653631, 0.82122905, 0.78212291]"
cb,0,baseline,0.81006,0.81006,0.0,0.0229,,"[0.81005587, 0.81564246, 0.78212291, 0.84916201, 0.79329609]"
dt,0,1,0.75754,0.80782,0.05027,0.02682,,"[0.80446927, 0.79329609, 0.78770950, 0.86033520, 0.79329609]"
dt,0,2,0.75754,0.77654,0.019,0.02914,,"[0.77653631, 0.75418994, 0.75418994, 0.83240223, 0.76536313]"
dt,0,3,0.75754,0.77765,0.0201,0.03284,,"[0.79329609, 0.77094972, 0.72625698, 0.82681564, 0.77094972]"
dt,0,4,0.75754,0.8,0.04246,0.02582,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,5,0.75754,0.79665,0.0391,0.02078,,"[0.77653631, 0.80446927, 0.79329609, 0.83240223, 0.77653631]"
dt,0,6,0.75754,0.79106,0.03351,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,0,7,0.75754,0.79106,0.03351,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
dt,0,8,0.75754,0.79218,0.03464,0.02161,,"[0.79329609, 0.78770950, 0.77653631, 0.83240223, 0.77094972]"
dt,0,9,0.75754,0.8,0.04246,0.02582,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
dt,0,10,0.75754,0.80559,0.04805,0.02301,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
xgb,0,1,0.78547,0.80894,0.02346,0.02606,,"[0.79329609, 0.79329609, 0.80446927, 0.86033520, 0.79329609]"
xgb,0,2,0.78547,0.76313,-0.02234,0.02279,,"[0.76536313, 0.75977654, 0.74860335, 0.80446927, 0.73743017]"
xgb,0,3,0.78547,0.78212,-0.00334,0.02572,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
xgb,0,4,0.78547,0.79553,0.01005,0.01752,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
xgb,0,5,0.78547,0.78994,0.00446,0.02412,,"[0.77094972, 0.76536313, 0.78212291, 0.83240223, 0.79888268]"
xgb,0,6,0.78547,0.79106,0.00558,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,0,7,0.78547,0.79106,0.00558,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
xgb,0,8,0.78547,0.79218,0.0067,0.02161,,"[0.79329609, 0.78770950, 0.77653631, 0.83240223, 0.77094972]"
xgb,0,9,0.78547,0.79553,0.01005,0.01752,,"[0.79888268, 0.79329609, 0.77653631, 0.82681564, 0.78212291]"
xgb,0,10,0.78547,0.80112,0.01565,0.01482,,"[0.79888268, 0.79329609, 0.80446927, 0.82681564, 0.78212291]"
rf,0,1,0.79106,0.8067,0.01563,0.02463,,"[0.80446927, 0.79329609, 0.78770950, 0.85474860, 0.79329609]"
rf,0,2,0.79106,0.76425,-0.02681,0.01671,,"[0.77094972, 0.75977654, 0.74860335, 0.79329609, 0.74860335]"
rf,0,3,0.79106,0.78212,-0.00893,0.02572,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
rf,0,4,0.79106,0.8,0.00894,0.02582,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
rf,0,5,0.79106,0.79553,0.00446,0.02017,,"[0.77094972, 0.79329609, 0.79329609, 0.83240223, 0.78770950]"
rf,0,6,0.79106,0.79106,0.0,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,0,7,0.79106,0.79106,0.0,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
rf,0,8,0.79106,0.79218,0.00112,0.02161,,"[0.79329609, 0.78770950, 0.77653631, 0.83240223, 0.77094972]"
rf,0,9,0.79106,0.8,0.00894,0.02582,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
rf,0,10,0.79106,0.80559,0.01453,0.02301,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
lgbm,0,1,0.78994,0.8,0.01006,0.00894,,"[0.79329609, 0.79329609, 0.80446927, 0.81564246, 0.79329609]"
lgbm,0,2,0.78994,0.76983,-0.0201,0.0263,,"[0.76536313, 0.77653631, 0.75418994, 0.81564246, 0.73743017]"
lgbm,0,3,0.78994,0.78212,-0.00781,0.02572,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
lgbm,0,4,0.78994,0.7933,0.00336,0.01836,,"[0.79888268, 0.78212291, 0.77653631, 0.82681564, 0.78212291]"
lgbm,0,5,0.78994,0.7933,0.00336,0.0212,,"[0.77653631, 0.77653631, 0.78212291, 0.83240223, 0.79888268]"
lgbm,0,6,0.78994,0.79106,0.00112,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,0,7,0.78994,0.79106,0.00112,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,0,8,0.78994,0.79106,0.00112,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
lgbm,0,9,0.78994,0.79218,0.00224,0.01193,,"[0.79888268, 0.79329609, 0.77653631, 0.81005587, 0.78212291]"
lgbm,0,10,0.78994,0.80223,0.01229,0.0168,,"[0.79888268, 0.79329609, 0.80446927, 0.83240223, 0.78212291]"
cb,0,1,0.81006,0.80782,-0.00224,0.02386,,"[0.79329609, 0.79329609, 0.80446927, 0.85474860, 0.79329609]"
cb,0,2,0.81006,0.76201,-0.04805,0.02488,,"[0.75418994, 0.75977654, 0.74301676, 0.81005587, 0.74301676]"
cb,0,3,0.81006,0.78212,-0.02793,0.02572,,"[0.79329609, 0.77094972, 0.75418994, 0.82681564, 0.76536313]"
cb,0,4,0.81006,0.8,-0.01005,0.02582,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,5,0.81006,0.79777,-0.01229,0.02218,,"[0.79329609, 0.79888268, 0.78770950, 0.83798883, 0.77094972]"
cb,0,6,0.81006,0.79106,-0.019,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,0,7,0.81006,0.79106,-0.019,0.01922,,"[0.79329609, 0.78212291, 0.78212291, 0.82681564, 0.77094972]"
cb,0,8,0.81006,0.79218,-0.01788,0.02161,,"[0.79329609, 0.78770950, 0.77653631, 0.83240223, 0.77094972]"
cb,0,9,0.81006,0.8,-0.01005,0.02582,,"[0.79888268, 0.79329609, 0.77653631, 0.84916201, 0.78212291]"
cb,0,10,0.81006,0.80559,-0.00446,0.02301,,"[0.79888268, 0.79329609, 0.80446927, 0.84916201, 0.78212291]"
dt,1,baseline,0.75754,0.78324,0.0257,0.02381,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': None, 'criterion': 'log_loss', 'class_weight': 'balanced'}","[0.75977654, 0.78770950, 0.76536313, 0.82681564, 0.77653631]"
xgb,1,baseline,0.78547,0.80223,0.01675,0.03112,"{'tree_method': 'auto', 'subsample': 0.6, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0, 'booster': 'dart'}","[0.79888268, 0.78770950, 0.75977654, 0.85474860, 0.81005587]"
rf,1,baseline,0.79106,0.8,0.00894,0.03359,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_leaf_nodes': None, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}","[0.78770950, 0.77653631, 0.76536313, 0.86033520, 0.81005587]"
lgbm,1,baseline,0.78994,0.8,0.01006,0.02246,"{'subsample': 1.0, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 15, 'n_estimators': 100, 'min_child_samples': 10, 'max_depth': 3, 'learning_rate': 0.2, 'colsample_bytree': 0.8, 'class_weight': None, 'boosting_type': 'gbdt'}","[0.80446927, 0.81005587, 0.76536313, 0.83240223, 0.78770950]"
cb,1,baseline,0.81006,0.8,-0.01005,0.02901,"{'scale_pos_weight': 2, 'random_strength': 0.5, 'learning_rate': 0.03, 'l2_leaf_reg': 5, 'iterations': 400, 'grow_policy': 'Lossguide', 'depth': 4, 'border_count': 64, 'bootstrap_type': 'MVS', 'bagging_temperature': 0.7}","[0.79888268, 0.79329609, 0.77094972, 0.85474860, 0.78212291]"
dt,1,1,0.75754,0.80335,0.04581,0.01849,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.79888268, 0.78770950, 0.80446927, 0.83798883, 0.78770950]"
dt,1,2,0.75754,0.78659,0.02905,0.02072,"{'splitter': 'random', 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_leaf_nodes': 50, 'max_features': None, 'max_depth': 3, 'criterion': 'log_loss', 'class_weight': None}","[0.80446927, 0.75977654, 0.78212291, 0.81564246, 0.77094972]"
